"indicator","fiscal_year","actual","target","proximity","status"
"Strong Authentication (OCIO)","2013-09-30T23:59:00.000","0.99","1","0.99","Met"
"Strong Authentication (OCIO)","2014-09-30T23:59:00.000","0.72","0.75","0.96","Met"
"Strong Authentication (OCIO)","2015-09-30T23:59:00.000","0.86","0.75","1.15","Exceeded"
"Strong Authentication (OCIO)","2016-09-30T23:59:00.000","0.9","1","0.9","Met"
"Strong Authentication (OCIO)","2017-09-30T23:59:00.000","0.97","1","0.97","Met"
"Strong Authentication (OCIO)","2018-09-30T23:59:00.000","0.97","1","0.97","Met"
"Strong Authentication (OCIO)","2019-09-30T23:59:00.000","0.95","1","0.95","Met"
"Strong Authentication (OCIO)","2020-09-30T23:59:00.000","0.88","0.92","0.96","Met"
"Strong Authentication (OCIO)","2021-09-30T23:59:00.000","0.88","1","1","Not Met"
"Strong Authentication (OCIO)","2022-09-30T00:00:00.000",,"1",,
"Strong Authentication (OCIO)","2023-09-30T00:00:00.000",,"1",,
