"performance_indicator","fiscal_year","actual","target","proximity","status"
"American Community Survey data products released as scheduled","2013-09-30T00:00:00.000","1","1","1","Met"
"American Community Survey data products released as scheduled","2014-09-30T00:00:00.000","1","1","1","Met"
"American Community Survey data products released as scheduled","2015-09-30T00:00:00.000","1","1","1","Met"
"American Community Survey data products released as scheduled","2016-09-30T00:00:00.000","1","1","1","Met"
"American Community Survey data products released as scheduled","2017-09-30T00:00:00.000","1","1","1","Met"
"American Community Survey data products released as scheduled","2018-09-30T00:00:00.000","1","1","1","Met"
"American Community Survey data products released as scheduled","2019-09-30T00:00:00.000","1","1","1","Met"
"American Community Survey data products released as scheduled","2020-09-30T00:00:00.000","1","1","1","Met"
"American Community Survey data products released as scheduled","2021-09-30T00:00:00.000","0.5","1","0.5","Not Met"
"American Community Survey data products released as scheduled","2022-09-30T00:00:00.000",,"1",,
"American Community Survey data products released as scheduled","2023-09-30T00:00:00.000",,"1",,
