"performance_indicator","fiscal_year","actual","target","proximity","status"
"Number of actions ongoing or completed to recover endangered and threatened species","2013-09-30T00:00:00.000","1897","1875","1.01","Exceeded"
"Number of actions ongoing or completed to recover endangered and threatened species","2014-09-30T00:00:00.000","2013","1979","1.41","Exceeded"
"Number of actions ongoing or completed to recover endangered and threatened species","2015-09-30T00:00:00.000","2157","2070","2.53","Exceeded"
"Number of actions ongoing or completed to recover endangered and threatened species","2016-09-30T00:00:00.000","2233","2229","1.06","Exceeded"
"Number of actions ongoing or completed to recover endangered and threatened species","2017-09-30T00:00:00.000","2183","2213","2.5","Not Met"
"Number of actions ongoing or completed to recover endangered and threatened species","2018-09-30T00:00:00.000","2234","2241","0.88","Not Met"
"Number of actions ongoing or completed to recover endangered and threatened species","2019-09-30T00:00:00.000","2358","2330","1.29","Exceeded"
"Number of actions ongoing or completed to recover endangered and threatened species","2020-09-30T00:00:00.000","2416","2385","2.15","Exceeded"
"Number of actions ongoing or completed to recover endangered and threatened species","2021-09-30T00:00:00.000","2511","2443","3.52","Exceeded"
"Number of actions ongoing or completed to recover endangered and threatened species","2022-09-30T00:00:00.000",,"2470",,
