"indicator","fiscal_year","actual","target","proximity","status"
"Trademark average total pendency (months)","2012-09-30T00:00:00.000","10.2","12","1.18","Exceeded"
"Trademark average total pendency (months)","2013-09-30T00:00:00.000","10","12","1.2","Exceeded"
"Trademark average total pendency (months)","2014-09-30T00:00:00.000","9.8","12","1.22","Exceeded"
"Trademark average total pendency (months)","2015-09-30T00:00:00.000","10.1","12","1.19","Exceeded"
"Trademark average total pendency (months)","2016-09-30T00:00:00.000","9.8","12","1.22","Exceeded"
"Trademark average total pendency (months)","2017-09-30T00:00:00.000","9.5","12","1.26","Exceeded"
"Trademark average total pendency (months)","2018-09-30T00:00:00.000","9.6","12","1.25","Exceeded"
"Trademark average total pendency (months)","2019-09-30T00:00:00.000","9.3","12","1.29","Exceeded"
"Trademark average total pendency (months)","2020-09-30T00:00:00.000","9.5","12","1.26","Exceeded"
"Trademark average total pendency (months)","2021-09-30T00:00:00.000","11.2","12","1.07","Exceeded"
"Trademark average total pendency (months)","2022-09-30T00:00:00.000",,"13.5",,
"Trademark average total pendency (months)","2023-09-30T00:00:00.000",,"13.5",,
