"indicator","fiscal_year","actual","target","proximity","status"
"Trade barriers removed, reduced, or prevented (annual)","2014-09-30T00:00:00.000","74",,,
"Trade barriers removed, reduced, or prevented (annual)","2015-09-30T00:00:00.000","41","70","0.59","Not Met"
"Trade barriers removed, reduced, or prevented (annual)","2016-09-30T00:00:00.000","110","75","1.47","Exceeded"
"Trade barriers removed, reduced, or prevented (annual)","2017-09-30T00:00:00.000","115","80","1.44","Exceeded"
"Trade barriers removed, reduced, or prevented (annual)","2018-09-30T00:00:00.000","138","126","1.1","Exceeded"
"Trade barriers removed, reduced, or prevented (annual)","2019-09-30T00:00:00.000","142","136","1.04","Exceeded"
"Trade barriers removed, reduced, or prevented (annual)","2020-09-30T00:00:00.000","176","130","1.35","Exceeded"
"Trade barriers removed, reduced, or prevented (annual)","2021-09-30T00:00:00.000","123","130","0.95","Met"
"Trade barriers removed, reduced, or prevented (annual)","2022-09-30T00:00:00.000",,"130",,
