"indicator","fiscal_year","actual","target","proximity","status"
"Percentage of U.S. exporter clients that achieved their export objectives","2012-09-30T23:59:00.000","0.68",,,
"Percentage of U.S. exporter clients that achieved their export objectives","2013-09-30T23:59:00.000","0.67",,,
"Percentage of U.S. exporter clients that achieved their export objectives","2014-09-30T23:59:00.000","0.73","0.69","1.06","Exceeded"
"Percentage of U.S. exporter clients that achieved their export objectives","2015-09-30T23:59:00.000","0.73","0.71","1.03","Exceeded"
"Percentage of U.S. exporter clients that achieved their export objectives","2016-09-30T23:59:00.000","0.78","0.73","1.07","Exceeded"
"Percentage of U.S. exporter clients that achieved their export objectives","2017-09-30T23:59:00.000","0.78","0.75","1.04","Exceeded"
"Percentage of U.S. exporter clients that achieved their export objectives","2018-09-30T23:59:00.000","0.81","0.74","1.09","Exceeded"
"Percentage of U.S. exporter clients that achieved their export objectives","2019-09-30T23:59:00.000","0.78","0.74","1.05","Exceeded"
"Percentage of U.S. exporter clients that achieved their export objectives","2020-09-30T23:59:00.000","0.8","0.78","1.03","Exceeded"
"Percentage of U.S. exporter clients that achieved their export objectives","2021-09-30T00:00:00.000","0.84","0.78","1.08","Exceeded"
"Percentage of U.S. exporter clients that achieved their export objectives","2022-09-30T00:00:00.000",,"0.85",,
"Percentage of U.S. exporter clients that achieved their export objectives","2023-09-30T00:00:00.000",,"0.85",,
