"indicator","fiscal_year","actual","target","proximity","status"
"Dollar Value of Financings","2015-09-30T23:59:00.000","1900000000","1000000000","1.9","Exceeded"
"Dollar Value of Financings","2016-09-30T23:59:00.000","1400000000","1000000000","1.4","Exceeded"
"Dollar Value of Financings","2017-09-30T23:59:00.000","4900000000","1000000000","4.9","Exceeded"
"Dollar Value of Financings","2018-09-30T23:59:00.000","1200000000","1000000000","1.2","Exceeded"
"Dollar Value of Financings","2019-09-30T23:59:00.000","1200000000","1000000000","1.2","Exceeded"
"Dollar Value of Financings","2020-09-30T00:00:00.000","1000000000","1000000000","1","Met"
"Dollar Value of Financings","2021-09-30T00:00:00.000","900000000","1000000000","0.9","Met"
