"indicator","fiscal_year","actual","target","proximity","status"
"Number of export transactions completed under the new authority of Commerce export licenses and license exceptions","2014-09-30T00:00:00.000","42837",,,
"Number of export transactions completed under the new authority of Commerce export licenses and license exceptions","2015-09-30T00:00:00.000","126798","80000","1.58","Exceeded"
"Number of export transactions completed under the new authority of Commerce export licenses and license exceptions","2016-09-30T00:00:00.000","144888","100000","1.45","Exceeded"
"Number of export transactions completed under the new authority of Commerce export licenses and license exceptions","2017-09-30T00:00:00.000","137281","150000","0.92","Met"
"Number of export transactions completed under the new authority of Commerce export licenses and license exceptions","2018-09-30T00:00:00.000","164385","150000","1.1","Exceeded"
"Number of export transactions completed under the new authority of Commerce export licenses and license exceptions","2019-09-30T00:00:00.000","157287","150000","1.05","Exceeded"
"Number of export transactions completed under the new authority of Commerce export licenses and license exceptions","2020-09-30T00:00:00.000","150083","150000","1","Exceeded"
"Number of export transactions completed under the new authority of Commerce export licenses and license exceptions","2021-09-30T00:00:00.000","155841","150000","1.04","Exceeded"
"Number of export transactions completed under the new authority of Commerce export licenses and license exceptions","2022-09-30T00:00:00.000",,"150000",,
"Number of export transactions completed under the new authority of Commerce export licenses and license exceptions","2023-09-30T00:00:00.000",,"150000",,
