"bureau","fiscal_year","total_indicators","status","order","count"
"National Oceanic and Atmospheric Administration","2014-09-30T00:00:00.000","44","Exceeded","3","22"
"National Oceanic and Atmospheric Administration","2014-09-30T00:00:00.000","44","Met","2","10"
"National Oceanic and Atmospheric Administration","2014-09-30T00:00:00.000","44","Not Met","1","12"
"National Oceanic and Atmospheric Administration","2015-09-30T00:00:00.000","44","Exceeded","3","25"
"National Oceanic and Atmospheric Administration","2015-09-30T00:00:00.000","44","Met","2","1"
"National Oceanic and Atmospheric Administration","2015-09-30T00:00:00.000","44","Not Met","1","2"
"National Oceanic and Atmospheric Administration","2016-09-30T00:00:00.000","46","Exceeded","3","25"
"National Oceanic and Atmospheric Administration","2016-09-30T00:00:00.000","46","Met","2","11"
"National Oceanic and Atmospheric Administration","2016-09-30T00:00:00.000","46","Not Met","1","10"
"National Oceanic and Atmospheric Administration","2017-09-30T00:00:00.000","41","Exceeded","3","20"
"National Oceanic and Atmospheric Administration","2017-09-30T00:00:00.000","41","Met","2","17"
"National Oceanic and Atmospheric Administration","2017-09-30T00:00:00.000","41","Not Met","1","4"
"National Oceanic and Atmospheric Administration","2018-09-30T00:00:00.000","38","Exceeded","3","18"
"National Oceanic and Atmospheric Administration","2018-09-30T00:00:00.000","38","Met","2","13"
"National Oceanic and Atmospheric Administration","2018-09-30T00:00:00.000","38","Not Met","1","7"
"National Oceanic and Atmospheric Administration","2019-09-30T00:00:00.000","68","Exceeded","3","28"
"National Oceanic and Atmospheric Administration","2019-09-30T00:00:00.000","68","Met","2","32"
"National Oceanic and Atmospheric Administration","2019-09-30T00:00:00.000","68","Not Met","1","8"
"National Oceanic and Atmospheric Administration","2020-09-30T00:00:00.000","68","Exceeded","3","26"
"National Oceanic and Atmospheric Administration","2020-09-30T00:00:00.000","68","Met","2","34"
"National Oceanic and Atmospheric Administration","2020-09-30T00:00:00.000","68","Not Met","1","8"
"National Oceanic and Atmospheric Administration","2021-09-30T00:00:00.000","73","Exceeded","3","35"
"National Oceanic and Atmospheric Administration","2021-09-30T00:00:00.000","73","Met","2","22"
"National Oceanic and Atmospheric Administration","2021-09-30T00:00:00.000","73","Not Met","1","16"
