"performance_indicator","fiscal_year","actual","target","proximity","status"
"Number of principal economic indicators released on time","2017-09-30T00:00:00.000","120",,,
"Number of principal economic indicators released on time","2018-09-30T00:00:00.000","120",,,
"Number of principal economic indicators released on time","2019-09-30T00:00:00.000","119","120","0.99","Met"
"Number of principal economic indicators released on time","2020-09-30T00:00:00.000","118","120","0.98","Met"
"Number of principal economic indicators released on time","2021-09-30T00:00:00.000","120","120","1","Met"
"Number of principal economic indicators released on time","2022-09-30T00:00:00.000",,"120",,
"Number of principal economic indicators released on time","2023-09-30T00:00:00.000",,"120",,
