"indicator","fiscal_year","actual","target","proximity","status"
"Jobs Created/Retained - 6 year totals","2004-09-30T00:00:00.000","68109",,,
"Jobs Created/Retained - 6 year totals","2005-09-30T00:00:00.000","47374",,,
"Jobs Created/Retained - 6 year totals","2006-09-30T00:00:00.000","42958",,,
"Jobs Created/Retained - 6 year totals","2007-09-30T00:00:00.000","49806",,,
"Jobs Created/Retained - 6 year totals","2008-09-30T00:00:00.000","30719","28900","1.06","Exceeded"
"Jobs Created/Retained - 6 year totals","2009-09-30T00:00:00.000","24533","22900","1.07","Exceeded"
"Jobs Created/Retained - 6 year totals","2010-09-30T00:00:00.000","26695","22472","1.19","Exceeded"
"Jobs Created/Retained - 6 year totals","2011-09-30T00:00:00.000","26416","18193","1.45","Exceeded"
"Jobs Created/Retained - 6 year totals","2012-09-30T00:00:00.000","36046","17548","2.05","Exceeded"
"Jobs Created/Retained - 6 year totals","2013-09-30T00:00:00.000","12685","16570","0.77","Not Met"
"Jobs Created/Retained - 6 year totals","2014-09-30T00:00:00.000","12486","15640","0.8","Not Met"
"Jobs Created/Retained - 6 year totals","2015-09-30T00:00:00.000","19526","27958","0.7","Not Met"
"Jobs Created/Retained - 6 year totals","2016-09-30T00:00:00.000","24101","15834","1.52","Exceeded"
"Jobs Created/Retained - 6 year totals","2017-09-30T00:00:00.000","18114","13392","1.35","Exceeded"
"Jobs Created/Retained - 6 year totals","2018-09-30T00:00:00.000","36456","12348","2.95","Exceeded"
"Jobs Created/Retained - 6 year totals","2019-09-30T00:00:00.000","16082","9082","1.77","Exceeded"
"Jobs Created/Retained - 6 year totals","2020-09-30T00:00:00.000","23874","10093","2.37","Exceeded"
"Jobs Created/Retained - 6 year totals","2021-09-30T00:00:00.000","11671","13729","0.85","Not Met"
"Jobs Created/Retained - 6 year totals","2022-09-30T00:00:00.000",,"14750",,
"Jobs Created/Retained - 6 year totals","2023-09-30T00:00:00.000",,"14100",,
