"performance_indicator","fiscal_year","actual","target","proximity","status"
"Number of projects advanced that improve the efficiency and predictability of the federal permitting process","2019-09-30T00:00:00.000","16",,,
"Number of projects advanced that improve the efficiency and predictability of the federal permitting process","2020-09-30T00:00:00.000","26","21","124%","Exceeded"
"Number of projects advanced that improve the efficiency and predictability of the federal permitting process","2021-09-30T00:00:00.000","29","31","94%","Met"
"Number of projects advanced that improve the efficiency and predictability of the federal permitting process","2022-09-30T00:00:00.000",,"27",,
"Number of projects advanced that improve the efficiency and predictability of the federal permitting process","2023-09-30T00:00:00.000",,"29",,
