"indicator","fiscal_year","actual","target","status"
"Minority business contracts and financing awarded","2014-09-30T23:59:00.000","2200000000","1100000000","Exceeded"
"Minority business contracts and financing awarded","2015-09-30T23:59:00.000","1100000000","624000000","Exceeded"
"Minority business contracts and financing awarded","2016-09-30T23:59:00.000","737000000","624000000","Exceeded"
"Minority business contracts and financing awarded","2017-09-30T23:59:00.000","1600000000","624000000","Exceeded"
"Minority business contracts and financing awarded","2018-09-30T23:59:00.000","1200000000","624000000","Exceeded"
"Minority business contracts and financing awarded","2019-09-30T23:59:00.000","1111000000","624000000","Exceeded"
"Minority business contracts and financing awarded","2020-09-30T23:59:00.000","1078320044","1078320044","Met"
"Minority business contracts and financing awarded","2021-09-30T23:59:00.000","605933632","624000000","Met"
