"performance_indicator","fiscal_year","actual","target","proximity","status"
"Hurricane forecast track error","2004-09-30T00:00:00.000","94",,,
"Hurricane forecast track error","2005-09-30T00:00:00.000","101",,,
"Hurricane forecast track error","2006-09-30T00:00:00.000","97",,,
"Hurricane forecast track error","2007-09-30T00:00:00.000","97","110","0.88","Not Met"
"Hurricane forecast track error","2008-09-30T00:00:00.000","86","110","0.78","Not Met"
"Hurricane forecast track error","2009-09-30T00:00:00.000","70","108","0.65","Not Met"
"Hurricane forecast track error","2010-09-30T00:00:00.000","89","107","0.83","Not Met"
"Hurricane forecast track error","2011-09-30T00:00:00.000","71","106","0.67","Not Met"
"Hurricane forecast track error","2012-09-30T00:00:00.000","69","84","0.82","Not Met"
"Hurricane forecast track error","2013-09-30T00:00:00.000","103","83","1.24","Exceeded"
"Hurricane forecast track error","2014-09-30T00:00:00.000","65","81","0.8","Not Met"
"Hurricane forecast track error","2015-09-30T00:00:00.000","77","77","1","Met"
"Hurricane forecast track error","2016-09-30T00:00:00.000","61","71","0.86","Not Met"
"Hurricane forecast track error","2017-09-30T00:00:00.000","56","68","0.82","Not Met"
"Hurricane forecast track error","2018-09-30T00:00:00.000","60","65","0.92","Met"
"Hurricane forecast track error","2019-09-30T00:00:00.000","75","62","1.21","Exceeded"
"Hurricane forecast track error","2020-09-30T00:00:00.000","64.5","59","1.09","Exceeded"
"Hurricane forecast track error","2021-09-30T00:00:00.000","53.3","57","0.94","Met"
"Hurricane forecast track error","2022-09-30T00:00:00.000",,"55",,
