"performance_indicator","fiscal_year","actual","target","proximity","status"
"Percent of Seafood Import Monitoring Program import records that are compliant","2019-09-30T00:00:00.000","0.64",,,
"Percent of Seafood Import Monitoring Program import records that are compliant","2020-09-30T00:00:00.000","0.54","0.8","0.68","Not Met"
"Percent of Seafood Import Monitoring Program import records that are compliant","2021-09-30T00:00:00.000","0.55","0.66","0.83","Not Met"
"Percent of Seafood Import Monitoring Program import records that are compliant","2022-09-30T00:00:00.000",,"0.57",,
