"indicator","fiscal_year","actual","target","proximity","status"
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2011-09-30T00:00:00.000","4338",,,
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2012-09-30T00:00:00.000","9217",,,
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2013-09-30T00:00:00.000","7078",,,
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2014-09-30T00:00:00.000","4960","4300","1.15","Exceeded"
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2015-09-30T00:00:00.000","5283","6300","0.84","Not Met"
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2016-09-30T00:00:00.000","4975","5000","1","Met"
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2017-09-30T00:00:00.000","4134","5000","0.83","Not Met"
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2018-09-30T00:00:00.000","7242","5000","1.45","Exceeded"
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2019-09-30T00:00:00.000","9854","4500","2.19","Exceeded"
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2020-09-30T00:00:00.000","10688","5000","2.14","Exceeded"
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2021-09-30T00:00:00.000","17841","5000","3.55","Exceeded"
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2022-09-30T00:00:00.000",,"5000",,
"Number of people, including foreign government officials and U.S. stakeholders, trained on best practices to protect and enforce intellectual property","2023-09-30T00:00:00.000",,"5000",,
