"indicator","fiscal_year","actual","target","proximity","status"
"Dollar Value of Contracts","2015-09-30T23:59:00.000","4000000000","2000000000","2","Exceeded"
"Dollar Value of Contracts","2016-09-30T23:59:00.000","1900000000","2000000000","0.95","Met"
"Dollar Value of Contracts","2017-09-30T23:59:00.000","2900000000","2000000000","1.45","Exceeded"
"Dollar Value of Contracts","2018-09-30T23:59:00.000","3400000000","2000000000","1.7","Exceeded"
"Dollar Value of Contracts","2019-09-30T23:59:00.000","2400000000","2000000000","1.2","Exceeded"
"Dollar Value of Contracts","2020-09-30T00:00:00.000","2000000000","2000000000","1","Met"
"Dollar Value of Contracts","2021-09-30T00:00:00.000","2600000000","2000000000","1.3","Exceeded"
