"indicator","fiscal_year","actual_m","target_m","proximity","status"
"Dollar amount of co-investment by non-Federal sources in DOC-supported Manufacturing USA institutes","2017-09-30T23:59:00.000","8890000","6000000","1.48","Exceeded"
"Dollar amount of co-investment by non-Federal sources in DOC-supported Manufacturing USA institutes","2018-09-30T23:59:00.000","28200000","15000000","1.88","Exceeded"
"Dollar amount of co-investment by non-Federal sources in DOC-supported Manufacturing USA institutes","2019-09-30T23:59:00.000","49000000","20000000","1.5","Exceeded"
"Dollar amount of co-investment by non-Federal sources in DOC-supported Manufacturing USA institutes","2020-09-30T23:59:00.000","56400000","42500000","1.33","Exceeded"
"Dollar amount of co-investment by non-Federal sources in DOC-supported Manufacturing USA institutes","2021-09-30T00:00:00.000","61900000","40500000","1.53","Exceeded"
"Dollar amount of co-investment by non-Federal sources in DOC-supported Manufacturing USA institutes","2022-09-30T00:00:00.000",,"10000000",,
"Dollar amount of co-investment by non-Federal sources in DOC-supported Manufacturing USA institutes","2023-09-30T00:00:00.000",,"10000000",,
