"performance_indicator","fiscal_year","actual","target","proximity","status"
"Number of economic development grants made to communities and regions to help build the capacity to support the export-related activities and needs of businesses.","2013-09-30T00:00:00.000",,,,
"Number of economic development grants made to communities and regions to help build the capacity to support the export-related activities and needs of businesses.","2014-09-30T00:00:00.000",,,,
"Number of economic development grants made to communities and regions to help build the capacity to support the export-related activities and needs of businesses.","2015-09-30T00:00:00.000",,,,
"Number of economic development grants made to communities and regions to help build the capacity to support the export-related activities and needs of businesses.","2016-09-30T00:00:00.000",,,,
"Number of economic development grants made to communities and regions to help build the capacity to support the export-related activities and needs of businesses.","2017-09-30T00:00:00.000","76",,,
"Number of economic development grants made to communities and regions to help build the capacity to support the export-related activities and needs of businesses.","2018-09-30T00:00:00.000","93","68","1.37","Exceeded"
"Number of economic development grants made to communities and regions to help build the capacity to support the export-related activities and needs of businesses.","2019-09-30T00:00:00.000","57","84","0.68","Not Met"
"Number of economic development grants made to communities and regions to help build the capacity to support the export-related activities and needs of businesses.","2020-09-30T00:00:00.000","68","51","1.33","Exceeded"
"Number of economic development grants made to communities and regions to help build the capacity to support the export-related activities and needs of businesses.","2021-09-30T00:00:00.000","96","61","1.57","Exceeded"
"Number of economic development grants made to communities and regions to help build the capacity to support the export-related activities and needs of businesses.","2022-09-30T00:00:00.000",,"86",,
