"performance_indicator","fiscal_year","actual","target","proximity","status"
"Number of forecast and mission improvements, based on The Weather Research and Forecasting Innovation Act of 2017, to weather applications at operational U.S. weather services and in the U.S. weather commercial sector","2018-09-30T00:00:00.000","15",,,"Met"
"Number of forecast and mission improvements, based on The Weather Research and Forecasting Innovation Act of 2017, to weather applications at operational U.S. weather services and in the U.S. weather commercial sector","2019-09-30T00:00:00.000","12","15","0.8","Not Met"
"Number of forecast and mission improvements, based on The Weather Research and Forecasting Innovation Act of 2017, to weather applications at operational U.S. weather services and in the U.S. weather commercial sector","2020-09-30T00:00:00.000","8","5","1.6","Exceeded"
"Number of forecast and mission improvements, based on The Weather Research and Forecasting Innovation Act of 2017, to weather applications at operational U.S. weather services and in the U.S. weather commercial sector","2021-09-30T00:00:00.000","15","12","1.25","Exceeded"
"Number of forecast and mission improvements, based on The Weather Research and Forecasting Innovation Act of 2017, to weather applications at operational U.S. weather services and in the U.S. weather commercial sector","2022-09-30T00:00:00.000",,"8",,
"Number of forecast and mission improvements, based on The Weather Research and Forecasting Innovation Act of 2017, to weather applications at operational U.S. weather services and in the U.S. weather commercial sector","2023-09-30T00:00:00.000",,"8",,
