"performance_indicator","fiscal_year","actual","target","status"
"Sanctuary and Monument reporting areas that can adequately assess resource condition","2018-09-30T00:00:00.000","0.82",,
"Sanctuary and Monument reporting areas that can adequately assess resource condition","2019-09-30T00:00:00.000","0.82","0.82","Met"
"Sanctuary and Monument reporting areas that can adequately assess resource condition","2020-09-30T00:00:00.000","0.8","0.82","Met"
"Sanctuary and Monument reporting areas that can adequately assess resource condition","2021-09-30T00:00:00.000","0.83","0.8","Exceeded"
"Sanctuary and Monument reporting areas that can adequately assess resource condition","2022-09-30T00:00:00.000",,"0.8",
"Sanctuary and Monument reporting areas that can adequately assess resource condition","2023-09-30T00:00:00.000",,"0.8",
