"indicator","fiscal_year","actual","target","status"
"Percentage of States and Territories that will continue critical coordination activities regarding wireless broadband and FirstNet beyond NTIA’s availability of grantfunds","2020-09-30T00:00:00.000","0.4","0.33","Exceeded"
"Percentage of States and Territories that will continue critical coordination activities regarding wireless broadband and FirstNet beyond NTIA’s availability of grantfunds","2021-09-30T00:00:00.000","0.71","0.5","Exceeded"
