"performance_indicator","fiscal_year","actual","target","proximity","status"
"Severe weather warnings tornadoes - Storm based lead time","2006-09-30T00:00:00.000","13",,,
"Severe weather warnings tornadoes - Storm based lead time","2007-09-30T00:00:00.000","13","13","1","Met"
"Severe weather warnings tornadoes - Storm based lead time","2008-09-30T00:00:00.000","14","11","1.27","Exceeded"
"Severe weather warnings tornadoes - Storm based lead time","2009-09-30T00:00:00.000","11","12","0.92","Met"
"Severe weather warnings tornadoes - Storm based lead time","2010-09-30T00:00:00.000","14","12","1.17","Exceeded"
"Severe weather warnings tornadoes - Storm based lead time","2011-09-30T00:00:00.000","15","12","1.25","Exceeded"
"Severe weather warnings tornadoes - Storm based lead time","2012-09-30T00:00:00.000","11","13","0.85","Not Met"
"Severe weather warnings tornadoes - Storm based lead time","2013-09-30T00:00:00.000","9","13","0.69","Not Met"
"Severe weather warnings tornadoes - Storm based lead time","2014-09-30T00:00:00.000","9","13","0.69","Not Met"
"Severe weather warnings tornadoes - Storm based lead time","2015-09-30T00:00:00.000","8","13","0.62","Not Met"
"Severe weather warnings tornadoes - Storm based lead time","2016-09-30T00:00:00.000","9","13","0.69","Not Met"
"Severe weather warnings tornadoes - Storm based lead time","2017-09-30T00:00:00.000","9","13","0.69","Not Met"
"Severe weather warnings tornadoes - Storm based lead time","2018-09-30T00:00:00.000","8","13","0.62","Not Met"
"Severe weather warnings tornadoes - Storm based lead time","2019-09-30T00:00:00.000","10","13","0.77","Not Met"
"Severe weather warnings tornadoes - Storm based lead time","2020-09-30T00:00:00.000","10","13","0.77","Not Met"
"Severe weather warnings tornadoes - Storm based lead time","2021-09-30T00:00:00.000","9","13","0.69","Not Met"
"Severe weather warnings tornadoes - Storm based lead time","2022-09-30T00:00:00.000",,"13",,
"Severe weather warnings tornadoes - Storm based lead time","2023-09-30T00:00:00.000",,"13",,
