"indicator","fiscal_year","actual","target","proximity","status"
"Percentage of timely implementation of Presidential Memorandum over 5 years","2020-09-30T00:00:00.000","0.5","0.5","1","Met"
"Percentage of timely implementation of Presidential Memorandum over 5 years","2021-09-30T00:00:00.000","0.6","0.6","1","Met"
