"performance_indicator","fiscal_year","actual","target","proximity","status"
"Number of protected species stocks with adequate population assessments and forecasts","2009-09-30T00:00:00.000","74","69","1.0725","Exceeded"
"Number of protected species stocks with adequate population assessments and forecasts","2010-09-30T00:00:00.000","75","75","1","Met"
"Number of protected species stocks with adequate population assessments and forecasts","2011-09-30T00:00:00.000","69","73","0.33","Not Met"
"Number of protected species stocks with adequate population assessments and forecasts","2012-09-30T00:00:00.000","77","78","0.89","Not Met"
"Number of protected species stocks with adequate population assessments and forecasts","2013-09-30T00:00:00.000","76","88","-0.09","Not Met"
"Number of protected species stocks with adequate population assessments and forecasts","2014-09-30T00:00:00.000","62","78","-7","Not Met"
"Number of protected species stocks with adequate population assessments and forecasts","2015-09-30T00:00:00.000","77","89","0.56","Not Met"
"Number of protected species stocks with adequate population assessments and forecasts","2016-09-30T00:00:00.000","82","89","0.42","Not Met"
"Number of protected species stocks with adequate population assessments and forecasts","2017-09-30T00:00:00.000","83","85","0.33","Not Met"
"Number of protected species stocks with adequate population assessments and forecasts","2018-09-30T00:00:00.000","87","93","0.4","Not Met"
"Number of protected species stocks with adequate population assessments and forecasts","2019-09-30T00:00:00.000","96","109","0.41","Not Met"
"Number of protected species stocks with adequate population assessments and forecasts","2020-09-30T00:00:00.000","99","115","0.16","Not Met"
"Number of protected species stocks with adequate population assessments and forecasts","2021-09-30T00:00:00.000","101","126","0.07","Not Met"
"Number of protected species stocks with adequate population assessments and forecasts","2022-09-30T00:00:00.000",,"127",,
