"indicator","fiscal_year","actual","target","proximity","status"
"Improve public safety by extending enhanced wireless broadband service to rural populations","2020-09-30T00:00:00.000","0.55","0.55","1","Met"
"Improve public safety by extending enhanced wireless broadband service to rural populations","2021-09-30T00:00:00.000","0.61","0.6","1.02","Exceeded"
