"indicator","fiscal_year","actual","target","status","proximity"
"Number of investment clients assisted","2014-09-30T23:59:00.000","1038","900","Exceeded","1.15"
"Number of investment clients assisted","2015-09-30T23:59:00.000","1651","1600","Exceeded","1.03"
"Number of investment clients assisted","2016-09-30T23:59:00.000","6072","1760","Exceeded","3.45"
"Number of investment clients assisted","2017-09-30T23:59:00.000","6671","2400","Exceeded","2.78"
"Number of investment clients assisted","2018-09-30T23:59:00.000","6850","3500","Exceeded","1.96"
"Number of investment clients assisted","2019-09-30T23:59:00.000","6471","3040","Exceeded","2.13"
"Number of investment clients assisted","2020-09-30T23:59:00.000","6921","6500","Exceeded","1.06"
"Number of investment clients assisted","2021-09-30T00:00:00.000","11721","6500","Exceeded","1.8"
"Number of investment clients assisted","2022-09-30T00:00:00.000",,"6500",,
,"2023-09-30T00:00:00.000",,"6500",,
