"inctype","inctypecode","loctype","date","longitude","latitude","id"
"NOISE","243","B","2018-05-05T18:54:45.000",,,"18026624"
"ANIMALS","550",,"2017-10-25T18:22:32.000",,,"17065362"
"DRUNK","23","B","2018-08-24T13:34:27.000",,,"18050479"
"ROAD RAGE","617","B","2017-07-17T22:06:10.000",,,"17043457"
"NOISE","243","S","2018-06-17T01:27:20.000","-71.1135465","42.3920485","18036030"
"NOISE","243","S","2017-10-28T04:42:29.000","-71.1135465","42.3920485","17065860"
"ANIMALS","550","S","2019-05-04T00:59:35.000","-71.0995474","42.3956576","19024408"
"NOISE","243","S","2016-06-19T15:29:19.000","-71.0989407","42.3773079","16036645"
"NOISE","243","S","2018-01-20T05:04:09.000","-71.109258","42.392115","18003889"
"HYPO-FND","4","S","2017-04-22T15:02:25.000","-71.1343051","42.4044075","17023505"
"DRUNK","23","S","2017-01-01T04:17:57.000","-71.1343051","42.4044075","16081868"
"GROUPS","242","S","2018-06-28T21:36:23.000","-71.0931158","42.3786491","18038571"
"ANIMALS","550","S","2019-08-23T13:05:19.000","-71.0821199","42.3860112","19048192"
"NOISE","243","S","2019-09-28T01:38:25.000","-71.0793023","42.3951406","19055762"
"ROAD RAGE","617","S","2017-12-15T02:28:36.000","-71.0793023","42.3951406","17075408"
"DRUNK","23","S","2019-12-07T05:06:51.000","-71.0790672","42.3938793","19069330"
"NOISE","243","S","2018-11-14T17:34:54.000","-71.0804311","42.3876916","18067639"
"NOISE/FW","248","S","2016-07-04T00:50:05.000","-71.1021565","42.3856972","16040348"
"NOISE","243","S","2016-12-02T06:00:09.000","-71.112377","42.399983","16075768"
"NOISE","243","S","2016-08-23T16:10:18.000","-71.1175413","42.3916642","16052462"
"NOISE","243","S","2016-06-07T03:39:53.000","-71.1175413","42.3916642","16033313"
"UNWANTED","703","B","2022-09-08T00:13:48.000","-71.083477","42.387509","22050647"
"UNWANTED","703","B","2022-09-07T18:18:04.000","-71.133417","42.406959","22050579"
"UNWANTED","703","B","2022-09-07T05:41:54.000","-71.083034","42.3876","22050463"
"NOISE","243","S","2022-09-07T23:43:46.000","-71.119096","42.398793","22050641"
"NOISE","243","S","2022-09-08T00:38:27.000","-71.091455","42.386764","22050650"
"DRUGS","2","B","2022-04-16T02:13:22.000","-71.092695","42.384456","22020383"
"NOISE","243","B","2021-12-11T04:05:07.000","-71.092695","42.384456","21063906"
"MV VANDL","139","S","2022-08-25T15:57:30.000","-71.092695","42.384456","22047699"
"ROAD RAGE","617","S","2018-02-23T22:37:04.000","-71.1091985","42.3805793","18010998"
"NOISE","243","S","2018-12-15T13:17:16.000","-71.1091985","42.3805793","18073728"
"NOISE","243","S","2016-07-09T05:28:32.000","-71.116704","42.3876873","16041486"
"ANIMALS","550","S","2017-09-13T14:47:09.000","-71.1293317","42.4063338","17056651"
"NOISE","243","S","2016-06-05T04:30:10.000","-71.1293317","42.4063338","16032845"
"NOISE","243","S","2018-06-26T05:48:14.000","-71.1093024","42.3869797","18038056"
