"year","country","sub_index","component","score","rank"
"2014-01-01T00:00:00.000","Denmark",,,"100","1"
"2014-01-01T00:00:00.000","Finland",,,"98.81152793","2"
"2014-01-01T00:00:00.000","Norway",,,"97.31680173","3"
"2014-01-01T00:00:00.000","United Kingdom Of Great Britain And Northern Ireland",,,"95.67142342","4"
"2014-01-01T00:00:00.000","Sweden",,,"94.96911846","5"
"2014-01-01T00:00:00.000","United States Of America",,,"94.51597129","6"
"2014-01-01T00:00:00.000","Iceland",,,"93.7222288","7"
"2014-01-01T00:00:00.000","Republic Of Korea",,,"92.80714227","8"
"2014-01-01T00:00:00.000","Netherlands",,,"91.83557987","9"
"2014-01-01T00:00:00.000","Belgium",,,"89.61122621","10"
"2014-01-01T00:00:00.000","France",,,"89.08757568","11"
"2014-01-01T00:00:00.000","New Zealand",,,"87.47684645","12"
"2014-01-01T00:00:00.000","Australia",,,"87.27121806","13"
"2014-01-01T00:00:00.000","Germany",,,"86.19094611","14"
"2014-01-01T00:00:00.000","Austria",,,"85.99864973","15"
"2014-01-01T00:00:00.000","Canada",,,"85.82126513","16"
"2014-01-01T00:00:00.000","Estonia",,,"85.04919795","17"
"2014-01-01T00:00:00.000","Switzerland",,,"84.73436269","18"
"2014-01-01T00:00:00.000","Japan",,,"79.00184477","19"
"2014-01-01T00:00:00.000","Ireland",,,"78.27816713","20"
"2014-01-01T00:00:00.000","Israel",,,"75.45989204","21"
"2014-01-01T00:00:00.000","Singapore",,,"75.15583417","22"
"2014-01-01T00:00:00.000","Spain",,,"74.52842588","23"
"2014-01-01T00:00:00.000","Chile",,,"74.18404671","24"
"2014-01-01T00:00:00.000","Portugal",,,"73.3345352","25"
"2014-01-01T00:00:00.000","Hungary",,,"66.1249287","26"
"2014-01-01T00:00:00.000","Uruguay",,,"66.10175111","27"
"2014-01-01T00:00:00.000","Czech Republic",,,"65.49754376","28"
"2014-01-01T00:00:00.000","Italy",,,"63.83022971","29"
"2014-01-01T00:00:00.000","Greece",,,"60.9101104","30"
"2014-01-01T00:00:00.000","Argentina",,,"60.73678231","31"
"2014-01-01T00:00:00.000","Costa Rica",,,"60.37790152","32"
"2014-01-01T00:00:00.000","Brazil",,,"60.18551247","33"
"2014-01-01T00:00:00.000","Poland",,,"58.80600756","34"
"2014-01-01T00:00:00.000","Russian Federation",,,"58.17132109","35"
"2014-01-01T00:00:00.000","Colombia",,,"57.1219891","36"
"2014-01-01T00:00:00.000","Mexico",,,"55.34422652","37"
"2014-01-01T00:00:00.000","Turkey",,,"53.30346649","38"
"2014-01-01T00:00:00.000","Tunisia",,,"51.92577768","39"
"2014-01-01T00:00:00.000","Mauritius",,,"49.59728828","40"
"2014-01-01T00:00:00.000","Philippines",,,"48.86982839","41"
"2014-01-01T00:00:00.000","Malaysia",,,"48.33981632","42"
"2014-01-01T00:00:00.000","Peru",,,"46.61713396","43"
"2014-01-01T00:00:00.000","China",,,"45.96792309","44"
"2014-01-01T00:00:00.000","South Africa",,,"45.81784129","45"
"2014-01-01T00:00:00.000","Ukraine",,,"45.19640849","46"
"2014-01-01T00:00:00.000","United Arab Emirates",,,"44.89919186","47"
"2014-01-01T00:00:00.000","India",,,"44.60178775","48"
"2014-01-01T00:00:00.000","Jamaica",,,"44.49931887","49"
"2014-01-01T00:00:00.000","Ecuador",,,"42.5695013","50"
"2014-01-01T00:00:00.000","Morocco",,,"40.38448899","51"
"2014-01-01T00:00:00.000","Indonesia",,,"39.27327495","52"
"2014-01-01T00:00:00.000","Thailand",,,"39.20247825","53"
