"name","board","city","province","grades","postsecond","data_source","elem","junior_h","senior_h","postal_cod"
"Palliser Beyond Borders at Calgary","The Palliser School Division","Calgary","AB","Senior High","N","N","N","N","N","T1Y5Z6"
"Westmount Mid/High School","Westmount Charter School Society","Calgary","AB","Elementary/Junior High/Senior High","N","N","Y","Y","Y","T2N4Y3"
"Olympic Heights School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3H2Z7"
"Sunnyside School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2N1S2"
"Kids Developmental Services Ltd.","Kids Developmental Services Ltd.","Calgary","AB","ECS","N","N","N","N","N","T2W3Z1"
"St. William School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2J0T1"
"Wildwood School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T3C2B3"
"Northern Lights School","The Calgary School Division","Calgary","AB","Unknown","N","N","N","N","N",
"Lake Bonavista School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2J2L1"
"CLS James Fowler Writing Centre","The Calgary School Division","Calgary","AB","Unknown","N","N","N","N","N","T2K1A1"
"Father Scollen School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T1Y5N4"
"North Haven School","The Calgary School Division","Calgary","AB","Elementary","N","N","Y","N","N","T2K2K2"
"Bow Valley College",,"Calgary","AB",,"Y","Y",,,,"T2G4S6"
"Glamorgan Community Kindergarten Society","Glamorgan Community Kindergarten Society","Calgary","AB","ECS","N","N","N","N","N","T3E3W5"
"St. Rupert School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T1Y2W9"
"Fairview School","The Calgary School Division","Calgary","AB","Elementary/Junior High","N","N","Y","Y","Y","T2H0Y1"
"St. Thomas More School","The Calgary Roman Catholic Separate School Division","Calgary","AB","Elementary","N","N","Y","N","N","T1Y5V4"
