"fiscal_year","retired_debt","new_debt","fy18_revised_total_debt","fy16_adopted_total_debt","fy18_revised_statutory_debt_limit_used","fy16_adopted_statutory_debt_limit_used"
"FY 15",,,"295561181.10","309100000.00","89.89","90.49"
"FY 16",,,"295477641.00","302300000.00","86.13","87.49"
"FY 17","16416128.00","5230000.00","283732002.00","290100000.00","69.41","82.03"
"FY 18","17268488.00","13200648.00","278283590.00","282000000.00","63.33","78.83"
"FY 19","16918261.00","9797352.00","271625126.50","265600000.00","57.58","71.74"
"FY 20","17812396.00","1815000.00","256090175.30","279900000.00","52.03","79.42"
"FY 21","17586399.00","1060000.00","240026221.30","267400000.00","46.49","74.47"
"FY 22","16170104.00","2635000.00","226953562.80","255900000.00","42.53","70.20"
"FY 23","17411745.00","2000000.00","212009635.20","244300000.00","38.85","66.04"
"FY 24","18178712.00","2000000.00","196296054.00","241400000.00","35.05","65.91"
"FY 25","18423068.00","2000000.00","180333064.70","226200000.00","31.36","66.23"
"FY 26","18642359.00","1000000.00","163114031.80",,"27.38",
"FY 27","18556838.00","1000000.00","145939792.80",,"23.66",
