"id","title","location","calendar","from_date","to_date","from_time","to_time","related_program","category_arts","category_brainfood","category_built_environment","category_design","category_family","category_free","category_history_and_heritage","category_indigenous","category_natural_environment","category_science_and_discovery","category_special_events","category_sport"
"239","2012 You Are Here","Canberra CBD, Australian Capital Territory, Australia","Program Events","2012-03-08T00:00:00.000","2012-08-18T00:00:00.000",,,"You Are Here","Yes","Yes",,"Yes","Yes","Yes",,,,,"Yes",
"436","Traversing Antarctica: the Australian experience","National Archives of Australia, Queen Victoria Terrace, Parkes, Australian Capital Territory, Australia","Program Events","2012-03-23T00:00:00.000","2012-09-09T00:00:00.000",,,,"Yes","Yes",,,,,"Yes",,"Yes",,,
"666","Christmas Gift Fair - Canberra Potters' Society Inc","Watson Arts Centre, Aspinall Street, Watson, Australian Capital Territory, Australia","Program Events","2012-08-24T00:00:00.000","2012-08-24T00:00:00.000",,,"Canberra Potters' Society and Watson Arts Centre","Yes",,,,,,,,,,,
"744","Glassimations Exhibition Opening","Canberra Glassworks, Wentworth Avenue, Kingston, Australian Capital Territory, Australia","Program Events","2012-11-14T00:00:00.000","2012-11-14T00:00:00.000","6:00:00 PM","8:00:00 PM","100 Days of Glass","Yes","Yes",,,"Yes",,,,,,,
"722","Capital and Country the Federation Through the Years 1900-1913","National Gallery of Australia, Parkes Place, Canberra, Australian Capital Territory, Australia","Program Events","2012-11-16T00:00:00.000","2013-01-20T00:00:00.000",,,"National Gallery of Australia","Yes","Yes",,,,,"Yes",,,,,
"730","Max Dupain on assignment","National Archives of Australia, Queen Victoria Terrace, Parkes, Australian Capital Territory, Australia","Program Events","2012-11-26T00:00:00.000","2013-09-30T00:00:00.000",,,"National Archives of Australia","Yes","Yes","Yes","Yes",,,,,,,,
"727","Imagining the city","National Film and Sound Archive, McCoy Circuit, Acton, Australian Capital Territory, Australia","Program Events","2012-12-01T00:00:00.000","2013-12-31T00:00:00.000",,,"National Film and Sound Archive","Yes","Yes","Yes",,,,,,"Yes",,"Yes",
"440","Canberra's Calling To You","The National Film & Sound Archive, McCoy Circuit, Acton, Australian Capital Territory, Australia","Program Events","2012-12-06T00:00:00.000","2013-12-31T00:00:00.000",,,"National Film and Sound Archive","Yes",,,,,,"Yes",,,,"Yes",
"997","Canberra 100 Community Tapestry","ANU School of Art Gallery, Ellery Crescent, Acton, Australian Capital Territory, Australia","Program Events","2012-12-06T00:00:00.000","2013-12-31T00:00:00.000",,,"Centenary Community Tapestry",,,,,,,,,,,,
"871","Behind the Lines: The year's best political cartoons 2012","Museum of Australian Democracy - Old Parliament House, King George Terrace, Parkes, Australian Capital Territory, Australia","Program Events","2012-12-11T00:00:00.000","2013-11-30T00:00:00.000",,,"Museum of Australian Democracy at Old Parliament House","Yes","Yes",,,,,,,,,,
"988","Art is a Weapon","Museum of Australian Democracy - Old Parliament House, King George Terrace, Parkes, Australian Capital Territory, Australia","Program Events","2012-12-15T00:00:00.000","2014-02-14T00:00:00.000",,,"Museum of Australian Democracy at Old Parliament House",,,,,,,,,,,,
"815","E100 in C100","Australian National University, Acton, Australian Capital Territory, Australia","Program Events","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000",,,,"Yes",,,,,,,,,,,
"802","Mount Stromlo Site Tours","Mount Stromlo Observatory, Stromlo, Australian Capital Territory, Australia","Program Events","2013-01-01T00:00:00.000","2013-01-01T00:00:00.000",,,"Innovation and Discovery, Mt Stromlo Site Tours",,"Yes",,,"Yes",,,,"Yes","Yes",,
"935","ANCA Gallery","ANCA Australian National Capital Artists, Rosevear Place, Dickson, Australian Capital Territory, Australia","Program Events","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000",,,,"Yes",,,"Yes",,,,,,,,
"973","Archiving the Times",,"Program Events","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000",,,"Archiving the Times",,,,,,,,,,,,
"737","Questacon Centenary Code Challenge","Questacon, King Edward Terrace, Parkes, Australian Capital Territory, Australia","Program Events","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000",,,"Innovation and Discovery, Questacon",,"Yes",,,"Yes",,,,,"Yes","Yes",
"934","ABC Full Circle 2013",,"Program Events","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000",,,"ABC Full Circle 2013",,,,,"Yes","Yes",,,,,,
"1004","Queanbeyan's 175th Birthday Celebrations","Queanbeyan, New South Wales, Australia","Program Events","2013-01-01T00:00:00.000","2013-09-30T00:00:00.000",,,"Queanbeyanâs 175th Birthday",,,,,,,"Yes",,,,,
"1013","ArtSound FM 92.7 historic radio arts and music broadcasts",,"Program Events","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000",,,"Historic Radio",,,,,,,"Yes",,,,"Yes",
"1025","Canberra Now","Canberra, Australian Capital Territory, Australia","Program Events","2013-01-01T00:00:00.000","2013-12-31T00:00:00.000",,,,,"Yes",,,"Yes",,"Yes",,,,"Yes",
"399","Young at Heart Film Festival",,"Program Events","2013-01-10T00:00:00.000","2013-01-10T00:00:00.000",,,,"Yes",,,,"Yes",,,,,,,
"465","IN [TWO] ART","Goulburn Regional Art Gallery, Goulburn, New South Wales, Australia","Program Events","2013-01-25T00:00:00.000","2013-02-28T00:00:00.000",,,"Goulburn Celebrates 150 Years","Yes",,,"Yes",,,,,,,,
"569","Australian Spiral Class Championships / Chief Minister's Regatta","Canberra Yacht Club, Mariner Place, Canberra, Australian Capital Territory, Australia","Program Events","2013-01-26T00:00:00.000","2013-01-29T00:00:00.000",,,"Sport",,,,,"Yes",,,,,,,"Yes"
"701","The Lodge on the Lake - Design Ideas Competition for a New Prime Minister's Lodge","University of Canberra, Bruce, Australian Capital Territory, Australia","Program Events","2013-01-26T00:00:00.000","2013-05-31T00:00:00.000",,,,,,,,,,,,,,,
"508","Open House: Australia Day Public Holiday Picnic","Lanyon Cafe, Tharwa, Australian Capital Territory, Australia","Program Events","2013-01-28T00:00:00.000","2013-01-28T00:00:00.000","10:00:00 AM","4:00:00 PM",,,,,,,,,,,,,
"684","Get Real Canberra","University of Canberra, Bruce, Australian Capital Territory, Australia","Program Events","2013-01-29T00:00:00.000","2013-11-25T00:00:00.000",,,"UCentenary","Yes","Yes",,,"Yes",,"Yes",,,,,
"649","Big Screen",,"Program Events","2013-02-01T00:00:00.000","2013-11-30T00:00:00.000",,,"National Film and Sound Archive","Yes",,,,,,"Yes",,,,,
"1060","Canberra Urban and Regional Futures Centenary Seminar Series",,"Program Events","2013-02-01T00:00:00.000","2013-08-31T00:00:00.000",,,"Big Issues/Big Talk",,"Yes",,,,,,,,,,
"1095","Portrait of a Nation: Australian Schools Portrait Project","National Portrait Gallery, King Edward Terrace, Parkes, Australian Capital Territory, Australia","Program Events","2013-02-01T00:00:00.000","2013-10-31T00:00:00.000",,,"Portrait of a Nation",,,,,,,"Yes",,,,,
"537","Kick Up Your Heels: Shearers' Ball","Yarralumla Woolshed, Cotter Road, Yarralumla, Australian Capital Territory, Australia","Program Events","2013-02-02T00:00:00.000","2013-02-02T00:00:00.000",,,"Kick Up Your Heels-100 years of social dancing","Yes",,,,,,,,,,"Yes",
"1536","Canberra Gold Exhibition","Canberra Museum and Gallery, Canberra, Australian Capital Territory, Australia","Program Events","2013-02-02T00:00:00.000","2013-05-19T00:00:00.000",,,,,,,,,,,,,,,
"1072","Australian Science: Global Impact - Lymphoma Research, the cutting edge","Shine Dome, Gordon Street, Australian Capital Territory, Australia","Program Events","2013-02-05T00:00:00.000","2013-02-05T00:00:00.000","5:30:00 PM","7:00:00 PM","Innovation and Discovery",,"Yes",,,,,,,,"Yes",,
"524","ANCA: The Angel of History","1 Rosevear Place, Dickson, ACT, 2602, Australia","Program Events","2013-02-06T00:00:00.000","2013-02-17T00:00:00.000",,,"Australian National Capital Artists","Yes",,,"Yes",,,,,,,,
"1044","Manning Clark House Poetry and Music Concerts",,"Program Events","2013-02-06T00:00:00.000","2013-12-28T00:00:00.000",,,,"Yes","Yes",,,,,,,,,,
"553","Women with Clever Hands: Miyalkurruwurr Gong Djambatjmala","Craft ACT Craft & Design Centre, London Circuit, Canberra, Australian Capital Territory, Australia","Program Events","2013-02-07T00:00:00.000","2013-03-16T00:00:00.000",,,"Selling Yarns 3: weaving the nation's story","Yes",,,"Yes",,,,"Yes","Yes",,"Yes",
"793","Centenary Chats: Jocelyn Plovits 'The National Arboretum Canberra: relationship and synergy'","Australian National Botanic Gardens, Canberra, Australian Capital Territory, Australia","Program Events","2013-02-07T00:00:00.000","2013-02-07T00:00:00.000","12:30:00 PM","1:30:00 PM","Australian National Botanic Gardens",,"Yes",,,,,"Yes",,"Yes",,,
"850","Sunset Cinema","Australian National Botanic Gardens, Black Mountain Drive, Canberra, Australian Capital Territory, Australia","Program Events","2013-02-07T00:00:00.000","2013-03-16T00:00:00.000",,,"Australian National Botanic Gardens","Yes",,,,"Yes",,,,"Yes",,"Yes",
"631","Capital Women","National Library of Australia, Parkes Place, Canberra, Australian Capital Territory, Australia","Program Events","2013-02-08T00:00:00.000","2013-02-08T00:00:00.000","6:00:00 PM",,"National Library of Australia",,,,,,,"Yes",,,,"Yes",
"650","The Bald Archy Prize 2013","Watson Arts Centre, Aspinall Street, Watson, Australian Capital Territory, Australia","Program Events","2013-02-08T00:00:00.000","2013-03-11T00:00:00.000",,,,,,,,,,,,,,,
"714","Opera by Candlelight","Albert Hall, Commonwealth Avenue, Yarralumla, Australian Capital Territory, Australia","Program Events","2013-02-08T00:00:00.000","2013-02-10T00:00:00.000",,,,"Yes",,,,"Yes",,,,,,"Yes",
"1258","Mt. Stromlo Observatory Site Tours","Mount Stromlo Observatory, Stromlo, Australian Capital Territory, Australia","Program Events","2013-02-09T00:00:00.000","2013-12-14T00:00:00.000",,,"Innovation and Discovery",,,,,"Yes",,,,,"Yes","Yes",
"1262","Canberra & District Historical Society monthly talk","National Archives of Australia, Queen Victoria Terrace, Parkes, Australian Capital Territory, Australia","Program Events","2013-02-12T00:00:00.000","2013-02-12T00:00:00.000","7:00:00 PM","9:00:00 PM","Big Issues/Big Talk",,,,,,,,,,,,
"717","Researching Canberra's Names","National Archives of Australia, Queen Victoria Terrace, Parkes, Australian Capital Territory, Australia","Program Events","2013-02-12T00:00:00.000","2013-02-12T00:00:00.000","7:00:00 PM","9:00:00 PM",,,,,,,,,,,,,
"1056","Lighthouse Innovation Centre: Revealed","65 Tennant Street, Fyshwick, ACT, Australia","Program Events","2013-02-12T00:00:00.000","2013-05-12T00:00:00.000",,,"Big Issues/Big Talk",,"Yes",,,,,,,,,,
"712","NICTA Techfest","Parliament of Australia, Parliament Drive, Capital Hill, Australian Capital Territory, Australia","Program Events","2013-02-13T00:00:00.000","2013-02-13T00:00:00.000",,,,,,,,,,,,,,,
"1236","Australian National University - Initiative to support Dollars for Dilli","Fellows Oval, Acton, Australian Capital Territory, Australia","Program Events","2013-02-15T00:00:00.000","2013-02-15T00:00:00.000","9:00:00 AM",,,,,,,,,,,,,,
