"stop_id","stop_name","location_1"
"4892","Belconnen Wy after Springvale Dr","(-35.243214, 149.048416)"
"2044","Heard St opp Southlands Shops","(-35.365578, 149.095428)"
"4372","Osburn Dr Macgregor Shops","(-35.211258, 149.010452)"
"1184","Clare Dennis Av after Woodcock Dr","(-35.443043, 149.085968)"
"3469","Brindabella Cct","(-35.313168, 149.190277)"
"3022","Denison St Royal Australian Mint","(-35.318825, 149.093979)"
"3141","Ipima St after Torrens St","(-35.266346, 149.136063)"
"4972","College St opp University Of Canberra","(-35.242538, 149.085678)"
"3406","City Bus Stn Plt 5","(-35.278511, 149.129944)"
"4316","Beaurepaire Cr Holt Shops","(-35.224979, 149.011078)"
"2304","Strickland Cr Calvary John James Hospital","(-35.318466, 149.095627)"
"4193","Kingsford Smith Dr 2nd after Southern Cross","(-35.224266, 149.037964)"
"2459","Julia Flynn Av opp Isaacs Shops","(-35.367218, 149.112823)"
"6062","Moonlight Av after Kalianna St","(-35.186348, 149.154694)"
"2074","Beasley St before Torrens Pl","(-35.373089, 149.086624)"
"6165","Burgmann Anglican School Forde","(-35.170834, 149.143845)"
"2706","Woden Bus Stn Plt 6","(-35.344467, 149.08754)"
"4549","Mouat St Southwell Park","(-35.247906, 149.131485)"
"1637","Hindmarsh Dr Weston Creek Terminus","(-35.343933, 149.027664)"
"4056","Canopus Cr opp Giralang PS","(-35.212971, 149.094177)"
"4662","Limestone Av before Euree","(-35.280273, 149.145859)"
"2589","Brierly St Cooleman Ct Plt 2","(-35.340988, 149.052338)"
"2161","Perry Dr Chapman Shops","(-35.356075, 149.04039)"
"2590","Lithgow St Fyshwick Terminus","(-35.330517, 149.163727)"
"2423","Fremantle Dr opp Canberra College Weston","(-35.349007, 149.049545)"
"4231","Tillyard Dr before Fraser Primary","(-35.19318, 149.042267)"
"13","Tuggeranong Stn Arrivals","(-35.414871, 149.066025)"
"4428","Ratcliffe Cr opp Florey PS","(-35.226887, 149.054367)"
"4793","William Slim Dr before Chuculba Cr","(-35.209682, 149.087906)"
"1905","Langdon Av Wanniassa Shops","(-35.391052, 149.086777)"
"3398","Wattle St Lyneham Shops","(-35.252918, 149.125015)"
"4773","Kosciuszko Av before Gungahlin Dr","(-35.193752, 149.126938)"
"4641","Templeton St Cook Shops","(-35.25959, 149.063721)"
"4148","Tillyard Dr opp Charnwood Shops","(-35.205978, 149.035202)"
"940","Cohen St Bus Stn Plt 6","(-35.239941, 149.060394)"
"4265","Verbrugghen St Copland CLG","(-35.212967, 149.058701)"
"1631","Laurens St Trinity Christian PS","(-35.406872, 149.08432)"
"2424","Fremantle Dr Canberra College Weston","(-35.348942, 149.049423)"
"4479","Cohen St Bus Stn Plt 3","(-35.239883, 149.060272)"
"2078","Hodgson Cr Pearce Shops","(-35.362499, 149.082214)"
"3378","Brigalow St before Wattle St","(-35.252174, 149.123322)"
"4037","Maribyrnong Av opp Kaleen Village","(-35.219273, 149.103165)"
"2258","National Cct before Kings Av","(-35.306076, 149.133148)"
"5512","Belc. Community Stn Plt 2","(-35.23978, 149.069183)"
"4714","Shoalhaven Av after Mirrabei Dr","(-35.17329, 149.122131)"
"4371","Osburn Dr opp Macgregor Shops","(-35.210953, 149.010651)"
"6063","Moonlight Av after Anthony Rolfe Av","(-35.186314, 149.1548)"
"1173","Comrie St opp Erindale Centre Plt 2","(-35.403778, 149.099335)"
"1223","Tom Roberts Av Conder PS","(-35.464855, 149.097977)"
"2941","Newcastle St after Gladstone St","(-35.324993, 149.172318)"
"4675","O'Hanlon Pl Federation Square","(-35.190918, 149.084167)"
