"country","total_ifc_investment_as_approved_by_board_million_usd"
"India","17523.74"
"Brazil","12823.29"
"China","12088.84"
"Türkiye","11010.23"
"Russian Federation","6260.05"
"Africa Region","6203.81"
"Mexico","5968.43"
"Nigeria","5650.06"
"Colombia","5146.11"
"South Africa","5134.24"
"Indonesia","4918.69"
"Argentina","4531.94"
"Egypt, Arab Republic of","4048.87"
"Romania","3652.75"
"Kenya","3607.92"
"Philippines","3234.70"
"Vietnam","2960.35"
"Latin America Region","2935.69"
"Pakistan","2699.51"
"Ukraine","2630.05"
"Bangladesh","2580.34"
"MENA Region","2432.22"
"Thailand","2389.43"
"Peru","2214.81"
"Ethiopia","2154.41"
"Ghana","2114.31"
"Chile","1940.24"
"East Asia and Pacific Region","1929.78"
"Southern Europe Region","1898.16"
"Eastern Europe Region","1606.83"
"Jordan","1577.00"
"Panama","1547.1"
"Kazakhstan","1436.49"
"Greece","1435.33"
"Sri Lanka","1416.61"
"Cote D'Ivoire","1415.97"
"Serbia","1367.80"
"Western Africa Region","1304.07"
"Iraq","1287.13"
"Mozambique","1284.18"
"Burkina Faso","1227.07"
"Ecuador","1066.2"
"Nepal","1037.37"
"Cambodia","1031.41"
"Paraguay","1026.04"
"Myanmar","1024.8"
"Central Europe Region","1017.48"
"Georgia","984.42"
"Mongolia","980.97"
"Morocco","979.26"
"Tanzania","971.27"
"Lebanon","836.90"
"Croatia","804.16"
"El Salvador","783.95"
"Uganda","775.76"
"Guatemala","739.94"
"Costa Rica","728.76"
"Bulgaria","679.77"
"Yemen, Republic of","672.31"
"Poland","638.93"
"Guinea","637.39"
"Dominican Republic","630.78"
"Cameroon","620.99"
"Tunisia","579.31"
"Armenia","563.47"
"Congo, Democratic Republic of","541.37"
"Uzbekistan","537.68"
"Venezuela, Republica Bolivariana de","530.1"
"Senegal","528.14"
"Nicaragua","527.20"
"Korea, Republic of","523.33"
"Djibouti","500.0"
"Jamaica","484.79"
"Kyrgyz Republic","484.4"
"Eastern Africa Region","463.7"
"Honduras","446.01"
"West Bank and Gaza","436.48"
"Trinidad and Tobago","431.2"
"Zambia","406.24"
"Albania","405.56"
"Mauritania","403.17"
"Belarus","395.15"
"Papua New Guinea","384.45"
"Country Name Pending","383.0"
"Maldives","370.75"
"Uruguay","364.0"
"Bosnia and Herzegovina","356.41"
"Central America Region","355.4"
"Czech Republic","334.77"
"Haiti","331.52"
"Saudi Arabia","294.60"
"Bolivia","291.14"
"Southern Asia Region","290.0"
"Azerbaijan","279.78"
"Oman","277.5"
"Moldova","261.79"
"Caribbean Region","255.0"
"Gabon","244.52"
"Macedonia, Former Yugoslav Republic of","221.74"
"Madagascar","219.34"
"Chad","208.74"
"Mali","206.65"
"Togo","205.90"
"Southern Africa Region","203.97"
"Singapore","196.63"
"Hungary","190.63"
"Botswana","189.24"
"Tajikistan","178.15"
"Netherlands","175.0"
"Algeria","173.95"
"Southeast Asia Region","165.0"
"Rwanda","156.97"
"Mauritius","145.68"
"United Arab Emirates","145.0"
"Lao People's Democratic Republic","138.44"
"Estonia","126.81"
"Angola","121.11"
"Afghanistan","120.50"
"Namibia","115.98"
"Montenegro","92.83"
"Hong Kong SAR, China","90.0"
"Central Asia Region","87.5"
"Guyana","86.50"
"Lithuania","79.63"
"Zimbabwe","69.43"
"Kosovo","65.90"
"Sierra Leone","65.35"
"Solomon Islands","60.0"
"Liberia","52.38"
"Kuwait","50.0"
"Bhutan","45.43"
"Seychelles","41.0"
"Benin","32.47"
"Syrian Arab Republic","30.92"
"Latvia","30.63"
"Malawi","30.58"
"Antigua and Barbuda","30.0"
"Israel","28.0"
"Cape Verde","24.92"
"Central Africa Region","22.5"
"Iran, Islamic Republic of","20.0"
"St. Lucia","20.0"
"Congo, Republic of","17.1"
"Comoros","15.88"
"Barbados","13.0"
"Samoa","11.35"
"Fiji","10.67"
"Gambia, The","10.41"
"Burundi","10.27"
"Vanuatu","7.59"
"Belize","6.0"
"South Sudan","5.0"
"Swaziland","4.92"
"Central African Republic","3.08"
"Grenada","2.0"
"Timor-Leste","1.5"
"Eritrea","0.95"
"Guinea-Bissau","0.35"
"Sao Tome and Principe",
"Bahrain",
"Marshall Islands",
