"country","original_principal_amount","disbursed_amount"
"Vietnam","21710458037.00","17372118621.87"
"Nepal","9056667772.00","6400751625.86"
"Myanmar","4221450000.00","2441467928.66"
"Indonesia","2887021749.84","2850852432.45"
"Lao People's Democratic Republic","2207070000.00","1578534729.86"
"Tonga","381210000.00","247358419.90"
"Fiji","333300000.00","300605972.00"
"Thailand","125100000.00","115416412.13"
