"date_disclosed","project_name","document_type","project_number","product_line","company_name","country","ifc_country_code","industry","environmental_category","department","status","project_board_date","ifc_investment_for_risk_management_million_usd","ifc_investment_for_guarantee_million_usd","ifc_investment_for_loan_million_usd","ifc_investment_for_equity_million_usd","total_ifc_investment_as_approved_by_board_million_usd","country_code","as_of_date"
"2022-08-31T00:00:00.000","KCB Senior Loan","Summary of Investment Information (AIP Policy 2012)","46587","Loan","KCB BANK KENYA LIMITED","Kenya","KEN","Financial Institutions","FI-2","Regional Industry - FIG Africa","Pending","2022-06-29T00:00:00.000",,,"150.0",,"150.0","KE","2022-09-02T03:05:00.000"
"2022-08-30T00:00:00.000","Kamal Steel","Summary of Investment Information (AIP Policy 2012)","46058",,"KAMAL STEELS LTD","Tanzania","TAN","Manufacturing","B","Regional Industry - MAS Africa","Pending","2022-10-15T00:00:00.000",,,,,,,"2022-09-02T03:05:00.000"
"2022-08-26T00:00:00.000","Uniao Quimica","Summary of Investment Information (AIP Policy 2012)","46445",,"UNIAO QUIMICA FARMACEUTICA NACIONAL SA","Brazil","BRA","other","B","Regional Industry - MAS LAC","Pending","2022-09-28T00:00:00.000",,,,,,"BR","2022-09-02T03:05:00.000"
"2022-08-26T00:00:00.000","SCV Fund III","Summary of Investment Information (AIP Policy 2012)","46554",,"SCV FUND MANAGEMENT B.V.","Southern Europe Region","EUR","Funds","FI-2","Disruptive Technologies and Funds","Pending","2022-10-07T00:00:00.000",,,,,,,"2022-09-02T03:05:00.000"
"2022-08-26T00:00:00.000","Holland","Summary of Investment Information (AIP Policy 2012)","46471",,"ELEMENTAL HOLDING SARL","Poland","POL","other","B","Regional Industry - INF ECA","Pending","2022-10-21T00:00:00.000",,,,,,"PL","2022-09-02T03:05:00.000"
"2022-08-26T00:00:00.000","Amunet Wind IPP","Summary of Investment Information (AIP Policy 2012)","45837",,"AMUNET WIND POWER COMPANY SAE","Egypt, Arab Republic of","EGT","Infrastructure","A","Regional Industry - INF Africa","Pending","2022-11-04T00:00:00.000",,,,,,"EG","2022-09-02T03:05:00.000"
"2022-08-26T00:00:00.000","Uniao Quimica","Summary of Investment Information (AIP Policy 2012)","46445",,"UNIAO QUIMICA FARMACEUTICA NACIONAL SA","Brazil","BRA","other","B","Regional Industry - MAS LAC","Pending","2022-09-28T00:00:00.000",,,,,,"BR","2022-09-02T03:05:00.000"
"2022-08-22T00:00:00.000","YKL Climate","Summary of Investment Information (AIP Policy 2012)","46788",,"YAPI KREDI FINANSAL KIRALAMA ANONIM ORTAKLIGI","Türkiye",,"Financial Institutions","FI-2","Regional Industry FIG MCT","Pending","2022-08-25T00:00:00.000",,,,,,,"2022-09-02T03:05:00.000"
"2022-08-22T00:00:00.000","Ventius Kosovo","Summary of Investment Information (AIP Policy 2012)","46699",,"VENTIUS INTERNATIONAL L.L.C","Kosovo","XKS","other","B","Regional Industry - MAS ECA","Pending","2022-09-23T00:00:00.000",,,,,,"XK","2022-09-02T03:05:00.000"
"2022-08-18T00:00:00.000","Balfin Group","Summary of Investment Information (AIP Policy 2012)","46472",,"BALFIN SH.P.K.","Albania","ALB","other","B","Regional Industry - MAS ECA","Pending","2022-09-19T00:00:00.000",,,,,,"AL","2022-09-02T03:05:00.000"
"2022-08-17T00:00:00.000","DCM RBRO MREL 2","Summary of Investment Information (AIP Policy 2012)","46482",,"RAIFFEISEN BANK SA","Romania","ROM","Financial Institutions","FI-2","Regional Industry - FIG - ECA","Active","2022-08-03T00:00:00.000",,,"100.0",,"100.0","RO","2022-09-02T03:05:00.000"
"2022-08-16T00:00:00.000","GWFP Nitron 2022","Summary of Investment Information (AIP Policy 2012)","46893",,"Nitron Group Corporation","Latin America Region","LAC","Financial Institutions","B","Regional Industry - MAS LAC","Pending","2022-09-16T00:00:00.000",,,,,,"33","2022-09-02T03:05:00.000"
"2022-08-15T00:00:00.000","Vertex Fund 5","Summary of Investment Information (AIP Policy 2012)","46894",,"VERTEX VENTURES SEA MANAGEMENT PTE. LTD.","Singapore","SNG","Funds","FI-2","Disruptive Technologies and Funds","Pending","2022-09-23T00:00:00.000",,,,,,,"2022-09-02T03:05:00.000"
"2022-08-11T00:00:00.000","Omni Equity","Summary of Investment Information (AIP Policy 2012)","46766",,"OMNI MANAGEMENT COMPANY LTD","Latin America Region","LAC","Financial Institutions","FI-2","Global Industry, Financial Markets","Pending","2022-09-12T00:00:00.000",,,,,,"33","2022-09-02T03:05:00.000"
"2022-08-08T00:00:00.000","DCM TTB GreenBlue 2021","Summary of Investment Information (AIP Policy 2012)","46019","Loan","TMB THANACHART BANK PUBLIC COMPANY LIMITED","Thailand","THL","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2022-02-23T00:00:00.000",,,"150.0",,"150.0","TH","2022-09-02T03:05:00.000"
"2022-08-05T00:00:00.000","Yunda Rural Agri Logistics","Summary of Investment Information (AIP Policy 2012)","44901",,"YUNDA HOLDING CO., LTD.","China","CHA","Agribusiness and Forestry","B","Regional Industry - MAS Asia & Pac","Pending","2022-09-30T00:00:00.000",,,,,,"CN","2022-09-02T03:05:00.000"
"2022-07-25T00:00:00.000","BUA Cement P1 ","Summary of Investment Information (AIP Policy 2012)","45661",,"BUA CEMENT PLC","Nigeria","NIR","Manufacturing","A","Regional Industry - MAS Africa","Pending","2022-09-26T00:00:00.000",,,,,,"NG","2022-09-02T03:05:00.000"
"2022-07-25T00:00:00.000","Korzinka","Summary of Investment Information (AIP Policy 2012)","46466",,"ANGLESEY FOOD LLC","Uzbekistan","UZB","Tourism, Retail, and Property","B","Regional Industry MAS MCT","Pending","2022-09-15T00:00:00.000",,,,,,"UZ","2022-09-02T03:05:00.000"
"2022-07-22T00:00:00.000","BOP Evocabank","Summary of Investment Information (AIP Policy 2012)","46617","Loan","EVOCABANK CLOSED JOINT STOCK COMPANY","Armenia","ARM","Financial Institutions","FI-2","Regional Industry - FIG - ECA","Pending","2022-08-12T00:00:00.000",,,"15.0",,"15.0","AM","2022-09-02T03:05:00.000"
"2022-07-22T00:00:00.000","Blueberry III","Summary of Investment Information (AIP Policy 2012)","46696",,"UNITED EXPORTS LIMITED","South Africa","SOU","Agribusiness and Forestry","B","Regional Industry - MAS Africa","Pending","2022-08-25T00:00:00.000",,,,,,"ZA","2022-09-02T03:05:00.000"
"2022-07-21T00:00:00.000","Naked Insurance","Summary of Investment Information (AIP Policy 2012)","46574",,"NAKED FINANCIAL TECHNOLOGY (PTY) LIMITED","South Africa","SOU","Financial Institutions","FI-3","Global Industry, Financial Markets","Pending","2022-08-22T00:00:00.000",,,,,,"ZA","2022-09-02T03:05:00.000"
"2022-07-21T00:00:00.000","BOP CRDB TZ-Senior Loans","Summary of Investment Information (AIP Policy 2012)","46204","Loan","CRDB BANK PLC","Tanzania","TAN","Financial Institutions","FI-2","CF3S2 - Regional Industry - FIG Africa/FIG Africa East & South","Active","2022-06-24T00:00:00.000",,,"105.0",,"105.0",,"2022-09-02T03:05:00.000"
"2022-07-19T00:00:00.000","AIK Banka SME","Summary of Investment Information (AIP Policy 2012)","45419",,"AIK BANKA AD","Serbia","SRB","Financial Institutions","FI-2","Regional Industry - FIG - ECA","Pending","2022-08-31T00:00:00.000",,,,,,"YF","2022-09-02T03:05:00.000"
"2022-07-19T00:00:00.000","Mavesa Ecuador","Summary of Investment Information (AIP Policy 2012)","46229",,"SPV OF MAVESA ECUADOR","Ecuador","ECU","Manufacturing","B","Regional Industry - MAS LAC","Pending","2022-08-24T00:00:00.000",,,,,,"EC","2022-09-02T03:05:00.000"
"2022-07-19T00:00:00.000","BOP BSS Micro Loan","Summary of Investment Information (AIP Policy 2012)","40848",,"BANK SAHABAT SAMPOERNA, PT","Indonesia","INS","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Pending","2022-07-31T00:00:00.000",,,,,,"ID","2022-09-02T03:05:00.000"
"2022-07-06T00:00:00.000","KB Bukopin Debt","Summary of Investment Information (AIP Policy 2012)","45295","Loan","BANK KB BUKOPIN, PT TBK","Indonesia","INS","Financial Institutions","FI-2","CF4S4 - Regional Industry - FIG Asia & Pac/FIG Inv Ops East Asia & Pacific","Active","2022-03-30T00:00:00.000",,,"300.0",,"300.0","ID","2022-09-02T03:05:00.000"
"2022-07-05T00:00:00.000","Kitabisa ","Summary of Investment Information (AIP Policy 2012)","46825",,"PT KITA BISA INDONESIA","Indonesia","INS","Financial Institutions","FI-3","Global Industry, Financial Markets","Pending","2022-08-23T00:00:00.000",,,,"5.0","5.0","ID","2022-09-02T03:05:00.000"
