"region","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount"
"EAST ASIA AND PACIFIC","187720801717.90","21325861583.20","13968854580.42","146379089750.38"
"EASTERN AND SOUTHERN AFRICA","18371841025.39","1733979186.76","3950938278.22","12793671325.91"
"EUROPE AND CENTRAL ASIA","173247916746.50","23596745266.30","14922839589.83","132776479480.53"
"LATIN AMERICA AND CARIBBEAN","262898180783.16","29092494407.53","15325038180.12","217718732137.73"
"MIDDLE EAST AND NORTH AFRICA","85854758841.16","10030653995.17","9513704921.14","65316801548.53"
"SOUTH ASIA","91516839431.94","15293510918.13","16817029762.38","58636477100.31"
"WESTERN AND CENTRAL AFRICA","15783400000.00","2276227161.80","1804842074.14","11934269985.20"
