"country","original_principal_amount","disbursed_amount"
"Colombia","31687908070.88","28337943898.50"
"Philippines","27352694284.28","20886528323.28"
"Ecuador","8075580000.00","6064659742.89"
"Brazil","64264763768.39","54951791689.30"
