"project_id","project_name","region","country_code","country_name","approval_fy","sector_board","agreement_type","lending_project_cost","net_commitment","exit_fy","lending_instrument_type","lending_instrument","product_line_code","product_line","ieg_evalfy","ieg_evaltype","err_at_appraisal","err_at_completion","ieg_outcome","ieg_rdo","disc_ieg_idimpact","ieg_bankqualityatentry","ieg_bankqualityofsupervision","ieg_overallbankperf","disc_ieg_borrprep","ieg_borrimplementation","ieg_borrcompliance","ieg_overallborrperf","ieg_icrquality","disc_ieg_sustainability","ieg_mequality","ieg_sourcedocumenturl"
"P126875","TZ-Energy Sector Capacity Building Prj","AFE","TZ","Tanzania","2013","Energy and Mining","IDA","35000000.00","21460000.00","2019","IPF","IPF","PE","IBRD/IDA","2020","ES",,,"Unsatisfactory",,,"MODERATELY UNSATISFACTORY","MODERATELY SATISFACTORY","MODERATELY UNSATISFACTORY",,,,,"MODERATE",,"MODEST",
"P133798","TZ-Open Govt & PFM Development Credit","AFE","TZ","Tanzania","2015",,"IDA","100000000.00","100000000.00","2016","DPF","DPL","PE","IBRD/IDA","2019","ES",,,"Unsatisfactory","SIGNIFICANT",,"MODERATELY UNSATISFACTORY","UNSATISFACTORY","UNSATISFACTORY",,"UNSATISFACTORY","UNSATISFACTORY","UNSATISFACTORY","MODERATE",,"LOW",
"P002677","HIGHWAYS (SUPPLEMENT","AFR","TZ","Tanzania","1968","Transport","IDA",,,"1973","IPF","SIL","PE","IBRD/IDA","1975","PAR","11","11","Satisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002678","BEEF RANCH DEVELOPME","AFR","TZ","Tanzania","1969","Agriculture and Rural Development","IDA",,,"1974","IPF","SIL","PE","IBRD/IDA","1976","PAR","18",,"Unsatisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002679","EDUCATION II","AFR","TZ","Tanzania","1969","Education","IDA",,,"1977","IPF","SIL","PE","IBRD/IDA","1978","PAR",,,"Satisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002680","TANZAM HIGHWAY","AFR","TZ","Tanzania","1969","Transport","IBRD",,,"1979","IPF","SIL","PE","IBRD/IDA","1982","PAR","15","7","Satisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002682","FLUE-CURED TOBACCO","AFR","TZ","Tanzania","1971","Agriculture and Rural Development","IDA",,,"1978","IPF","SIL","PE","IBRD/IDA","1980","PAR","30","14","Satisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002683","EDUCATION III","AFR","TZ","Tanzania","1971","Education","IDA",,,"1978","IPF","SIL","PE","IBRD/IDA","1980","PAR",,,"Satisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002684","KIDATU POWER","AFR","TZ","Tanzania","1971","Energy and Mining","IBRD",,,"1977","IPF","SIL","PE","IBRD/IDA","1980","PAR","16","12","Satisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002685","SMALLHOLDER TEA I","AFR","TZ","Tanzania","1972","Agriculture and Rural Development","IDA",,"10800000.00","1980","IPF","SIL","PE","IBRD/IDA","1980","PAR","17","12","Satisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002686","HIGHWAYS III","AFR","TZ","Tanzania","1972","Transport","IDA",,,"1979","IPF","SIL","PE","IBRD/IDA","1982","PAR","14","4","Unsatisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002687","LIVESTOCK II","AFR","TZ","Tanzania","1973","Agriculture and Rural Development","IDA",,"18500000.00","1980","IPF","FIL","PE","IBRD/IDA","1983","PAR","35","-5","Unsatisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002688","EDUCATION IV","AFR","TZ","Tanzania","1973","Education","IDA",,"10300000.00","1980","IPF","SIL","PE","IBRD/IDA","1984","PCR",,,"Satisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","SATISFACTORY","NOT RATED",,"http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2008/10/10/000334955_20081010084834/Rendered/PDF/47030PCR01also101OFFICIAL0USE0ONLY1.pdf"
"P002688","EDUCATION IV","AFR","TZ","Tanzania","1973","Education","IDA",,"10300000.00","1980","IPF","SIL","PE","IBRD/IDA","1995","PAR",,,"Satisfactory",,"MODEST","UNSATISFACTORY","SATISFACTORY","NOT RATED","NOT RATED","SATISFACTORY","HIGHLY SATISFACTORY","NOT RATED","NOT RATED","LIKELY",,
"P002689","COTTON I (GEITA)","AFR","TZ","Tanzania","1974","Agriculture and Rural Development","IDA",,"17500000.00","1983","IPF","SIL","PE","IBRD/IDA","1984","PAR","14","-5","Unsatisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002690","CASHEW NUTS","AFR","TZ","Tanzania","1974","Agriculture and Rural Development","IBRD",,"21000000.00","1982","IPF","SIL","PE","IBRD/IDA","1984","PAR","39","-5","Unsatisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002691","TIB I(DFC)","AFR","TZ","Tanzania","1974","Financial Sector","IDA",,"6000000.00","1980","IPF","FIL","PE","IBRD/IDA","1982","PAR",,,"Unsatisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002693","RURAL DEVT I (KIGOMA","AFR","TZ","Tanzania","1975","Agriculture and Rural Development","IDA",,"10000000.00","1983","IPF","SIL","PE","IBRD/IDA","1984","PAR","22","-5","Unsatisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,
"P002694","SUGAR DEVELOPMENT","AFR","TZ","Tanzania","1975","Agriculture and Rural Development","IBRD",,"18000000.00","1981","IPF","SIL","PE","IBRD/IDA","1985","PCR","12.9","4","Unsatisfactory",,"NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED","NOT RATED",,"http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/1984/11/28/000009265_3970818101143/Rendered/PDF/multi_page.pdf"
