"country","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount"
"India","52586018538.63","6436034868.23","600229516.50","45802155543.59"
"Bangladesh","38628530240.84","4095864662.45","8785691748.61","25121604899.17"
"Pakistan","30468354468.01","2210371038.33","5618169814.30","22376720132.89"
"Ethiopia","28747503975.87","1277606764.04","6078031238.98","21043582152.98"
"Nigeria","25417215968.81","2118964516.78","7619909256.77","15436654105.42"
"Vietnam","21710458037.00","1863642650.69","2302857445.95","17372118621.87"
"Tanzania","18636659393.08","646067235.67","4060441923.37","13715790022.45"
"Kenya","18428681038.71","1492352989.83","3634622608.53","13042557411.48"
"Congo, Democratic Republic of","15149924621.63","1019979069.93","4681910005.29","9442483090.97"
"Ghana","13727856042.11","384768954.11","3415667345.93","9944200333.97"
"Uganda","13117031052.66","815311238.31","3282566897.72","9027667913.05"
"Mozambique","11603660000.00","242278858.14","3778343125.33","7388466685.63"
"China","9946710000.00","81838622.65","0.00","10205864747.83"
"Cote d'Ivoire","9309688365.53","479383481.46","2685752193.38","5812479723.64"
"Nepal","9056667772.00","796171796.70","1806213568.21","6400751625.86"
"Senegal","8424997550.31","350592732.22","2004621876.81","5998420841.87"
"Burkina Faso","8374030764.41","187973447.30","2182014747.57","5774508403.03"
"Niger","8002833044.46","157237138.22","2986116522.63","4588912717.23"
"Madagascar","7790915547.48","262606418.22","2195485772.97","5285461854.40"
"Yemen, Republic of","7035431063.73","892047453.71","827128255.21","5372274220.47"
"Rwanda","6513198801.65","164905796.01","1213339693.40","4989734326.62"
"Malawi","6490989837.41","146975666.93","1566512949.18","4717325740.33"
"Sri Lanka","6410673836.57","700632186.39","508858632.64","5219824376.40"
"Cameroon","5984451992.83","321274166.03","2226309013.03","3171457497.49"
"Afghanistan","5881146724.98","600912318.79","892109139.00","4375749989.46"
"Zambia","5801420000.00","207343297.08","1340873026.52","4258832176.73"
"Mali","5630816640.36","180253541.66","931854307.52","4476848198.13"
"Benin","5058262050.96","161062155.97","1753590094.28","2960879116.10"
"Uzbekistan","4879604000.00","143636801.71","2189017595.93","2485665726.60"
"Myanmar","4221450000.00","332135307.69","1388900995.80","2441467928.66"
"Chad","3480537016.64","174627078.81","1349429384.95","1909639292.36"
"Honduras","3320739347.38","80922694.10","738192541.92","2503162468.80"
"Guinea","3268300000.00","77487360.96","617269685.26","2592075591.34"
"Sudan","3240408462.80","270166058.71","372037854.50","2620393069.29"
"Burundi","3113248555.50","163775966.53","721127326.24","2209190358.44"
"Bolivia","2938957957.57","218466566.83","199318995.79","2522958581.49"
"Haiti","2914138997.01","235058425.54","817265897.05","1809880280.26"
"Indonesia","2887021749.84","100302965.74","0.00","2850852432.45"
"Sierra Leone","2673003906.51","149221108.42","542534286.08","1966028472.18"
"Somalia","2592017184.89","162111490.38","1191163275.08","1198308408.27"
"Togo","2537145493.75","147581691.95","541048832.33","1800347985.94"
"Nicaragua","2463036300.34","59139820.30","197927036.02","2218929266.71"
"Liberia","2340510000.00","109924614.57","477605611.71","1767981064.26"
"Kyrgyz Republic","2327775000.00","128122660.63","707853756.18","1454389874.30"
"Tajikistan","2311420000.00","38213567.31","1065073045.34","1176852144.70"
"Cambodia","2288410000.00","84115586.01","813966807.40","1321683931.90"
"Lao People's Democratic Republic","2207070000.00","102866884.04","512471364.14","1578534729.86"
"Mauritania","2195897522.25","182003120.45","491375696.78","1645138182.98"
"Central African Republic","2082177288.69","154564014.52","504957786.15","1413088183.21"
"Egypt, Arab Republic of","1984451242.52","161153058.28","0.00","1823921733.86"
"Bosnia and Herzegovina","1564740000.00","137643335.73","0.00","1441512701.07"
"Georgia","1549690000.00","29095106.16","4465575.70","1534415424.54"
"Armenia","1407870000.00","9893886.87","4680686.33","1409594973.82"
"Moldova","1373478000.00","52838556.35","379159159.09","914437388.82"
"South Sudan","1215600000.00","93520871.95","562593707.59","523020801.02"
"Mongolia","1200950000.00","24298629.28","176150676.89","1005910701.98"
"Papua New Guinea","1173714444.70","43179582.90","388602937.48","695848031.61"
"Azerbaijan","1128220000.00","45108325.08","0.00","1089921091.34"
"Gambia, The","1088463180.74","14666338.61","325822772.89","750524539.12"
"Congo, Republic of","1071474646.78","37255286.81","271902872.41","753224431.38"
"Lesotho","1067401011.73","71730336.42","259576512.27","728500215.03"
"Eastern and Southern Africa","1045100000.00","5511305.59","644314109.37","381839496.97"
"Angola","1023580000.00","99526310.21","56162.33","903012105.35"
"Western and Central Africa","1012730000.00","96288740.98","314026481.00","596508172.38"
"Ukraine","1000000000.00","0.00","944480449.36","25930932.18"
"Albania","949960000.00","47187676.65","0.00","921381676.78"
"Guinea-Bissau","820611647.00","5576143.07","202298337.30","617520069.31"
"Zimbabwe","733950000.00","202962025.21","2566271.79","528978837.66"
