"date_disclosed","project_name","document_type","project_number","project_url","product_line","company_name","country","ifc_country_code","industry","environmental_category","department","status","project_board_date","ifc_approval_date","ifc_signed_date","ifc_invested_date","ifc_investment_for_risk_management_million_usd","ifc_investment_for_guarantee_million_usd","ifc_investment_for_loan_million_usd","ifc_investment_for_equity_million_usd","total_ifc_investment_as_approved_by_board_million_usd","country_code","as_of_date"
"2010-03-16T00:00:00.000","8 Miles Fund I 'A' LP","Summary of Proposed Investment (Disclosure Policy 2006)","29449","https://disclosures.ifc.org/project-detail/SPI/29449/8-miles-fund-i-'a'-lp","Equity","Eight Africa Fund I (Mauritius) Limited","Africa Region","AFR","Infrastructure","FI","Disruptive Technologies and Funds","Active","2010-04-15T00:00:00.000","2010-05-06T00:00:00.000","2011-12-23T00:00:00.000","2012-05-10T00:00:00.000",,,,"50.0","50.0","3A","2022-08-30T03:05:00.000"
"2011-03-31T00:00:00.000","Aavishkaar MSME","Summary of Proposed Investment (Disclosure Policy 2006)","30711","https://disclosures.ifc.org/project-detail/SPI/30711/aavishkaar-msme","Equity","AAVISHKAAR INDIA II COMPANY LTD","India","IND","Infrastructure","FI","Disruptive Technologies and Funds","Active","2011-05-30T00:00:00.000","2011-06-17T00:00:00.000","2011-06-27T00:00:00.000","2011-11-04T00:00:00.000",,,,"15.0","15.0","IN","2022-08-30T03:05:00.000"
"2012-04-10T00:00:00.000","Abengoa CSP SA","Summary of Proposed Investment (Disclosure Policy 2006)","31083","https://disclosures.ifc.org/project-detail/SPI/31083/abengoa-csp-sa","Loan","Kaxu Solar One (RF) Proprietary Limited","South Africa","SOU","Infrastructure","B","Gbl Infrastructure &amp; Natural Resources","Active","2012-05-31T00:00:00.000","2012-06-05T00:00:00.000","2012-11-04T00:00:00.000","2012-12-18T00:00:00.000",,,"160.54",,"160.54","ZA","2022-08-30T03:05:00.000"
"2022-03-07T00:00:00.000","Abydos Solar IPP","Summary of Investment Information (AIP Policy 2012)","41727","https://disclosures.ifc.org/project-detail/SII/41727/abydos-solar-ipp",,"ABYDOS SOLAR POWER COMPANY","Egypt, Arab Republic of","EGT","Infrastructure","B","Regional Industry - INF Africa","Pending","2022-06-30T00:00:00.000",,,,,,,,,"EG","2022-08-30T03:05:00.000"
"2018-08-01T00:00:00.000","Acajutla LNG","Summary of Investment Information (AIP Policy 2012)","34588","https://disclosures.ifc.org/project-detail/SII/34588/acajutla-lng","Risk Management","ENERGIA DEL PACIFICO S.A. DE C.V.","El Salvador","ESL","Infrastructure","A","Regional Industry - INF LAC","Active","2018-12-14T00:00:00.000","2019-06-06T00:00:00.000","2019-11-20T00:00:00.000","2019-12-20T00:00:00.000","3.0",,"85.0",,"88.0","SV","2022-08-30T03:05:00.000"
"2017-06-15T00:00:00.000","Acciona Benban 2","Summary of Investment Information (AIP Policy 2012)","39995","https://disclosures.ifc.org/project-detail/SII/39995/acciona-benban-2","Risk Management","SunRise Energy S.A.E","Egypt, Arab Republic of","EGT","Infrastructure","B","Regional Industry - INF Africa","Active","2017-07-31T00:00:00.000","2017-07-20T00:00:00.000","2017-10-12T00:00:00.000","2018-06-08T00:00:00.000","1.0",,"21.0",,"22.0","EG","2022-08-30T03:05:00.000"
"2017-06-15T00:00:00.000","Acciona Benban 3","Summary of Investment Information (AIP Policy 2012)","39997","https://disclosures.ifc.org/project-detail/SII/39997/acciona-benban-3","Risk Management","RISING SUN ENERGY S.A.E.","Egypt, Arab Republic of","EGT","Infrastructure","B","Regional Industry - INF Africa","Active","2017-07-31T00:00:00.000","2017-07-20T00:00:00.000","2017-10-12T00:00:00.000","2018-06-07T00:00:00.000","1.0",,"21.0",,"22.0","EG","2022-08-30T03:05:00.000"
"2019-02-11T00:00:00.000","AC Energy Green Bond","Summary of Investment Information (AIP Policy 2012)","40227","https://disclosures.ifc.org/project-detail/SII/40227/ac-energy-green-bond","Loan","AC ENERGY, INC.","Vietnam","VNM","Infrastructure","B","Regional Industry - INF Asia & Pac","Active","2019-01-29T00:00:00.000","2019-01-29T00:00:00.000","2019-01-31T00:00:00.000","2019-02-12T00:00:00.000",,,"100.0",,"100.0","VN","2022-08-30T03:05:00.000"
"2013-04-17T00:00:00.000","ACME Energy","Summary of Investment Information (AIP Policy 2012)","32497","https://disclosures.ifc.org/project-detail/SII/32497/acme-energy","Loan","ACME SOLAR ENERGY (MADHYA PRADESH) PRIVATE LIMITED","India","IND","Infrastructure","B","Gbl Infrastructure & Natural Resources","Active","2013-05-24T00:00:00.000","2013-06-14T00:00:00.000",,,,,"50.0",,"50.0","IN","2022-08-30T03:05:00.000"
"2014-09-19T00:00:00.000","Acme Solar NSM","Summary of Investment Information (AIP Policy 2012)","35187","https://disclosures.ifc.org/project-detail/SII/35187/acme-solar-nsm","Loan","MEDHA ENERGY PRIVATE LIMITED","India","IND","Infrastructure","B","Regional Industry - INF Asia & Pac","Completed","2014-05-24T00:00:00.000","2013-06-14T00:00:00.000","2014-11-20T00:00:00.000","2015-01-14T00:00:00.000",,,"50.0",,"50.0","IN","2022-08-30T03:05:00.000"
