"end_of_period","country","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount","borrower_s_obligation"
"2022-07-31T00:00:00.000","Senegal","3501500000.00","18987594.47","1954545483.17","1306943100.11","1154333974.80"
"2022-07-31T00:00:00.000","Serbia","10000000.00","10000000.00","0.00","0.00","0.00"
"2022-07-31T00:00:00.000","Sierra Leone","948270000.00","0.00","534130869.75","386969389.24","156191173.80"
"2022-07-31T00:00:00.000","Solomon Islands","316390000.00","3699202.63","225736703.32","77310757.38","14277188.99"
"2022-07-31T00:00:00.000","Somalia","1590500000.00","0.00","1191163275.09","343693332.08","0.00"
"2022-07-31T00:00:00.000","South Asia","73000000.00","0.00","63841836.65","7513856.41","0.00"
"2022-07-31T00:00:00.000","South East Asia","20000000.00","0.00","19721640.00","0.00","0.00"
"2022-07-31T00:00:00.000","South Sudan","811200000.00","0.00","562593707.59","218817950.94","0.00"
"2022-07-31T00:00:00.000","Sri Lanka","716224046.00","15000000.00","362374790.58","336704048.85","330589923.23"
"2022-07-31T00:00:00.000","St. Lucia","205450000.00","0.00","149246140.77","52208443.27","50411619.23"
"2022-07-31T00:00:00.000","St. Vincent and the Grenadines","159200000.00","0.00","93902012.39","65297987.61","65297987.61"
"2022-07-31T00:00:00.000","Sudan","1885000000.00","56431004.96","372037854.50","1420029683.70","0.00"
"2022-07-31T00:00:00.000","Tajikistan","1417150000.00","0.00","1060080009.25","320471460.23","48189446.39"
"2022-07-31T00:00:00.000","Tanzania","6704300000.00","0.00","4033823008.66","2384877662.68","2290407631.34"
"2022-07-31T00:00:00.000","Timor-Leste","255201256.00","0.00","229727246.96","16272637.35","15403473.04"
"2022-07-31T00:00:00.000","Togo","944100000.00","4775293.74","541043389.68","334086518.32","163904015.57"
"2022-07-31T00:00:00.000","Tonga","226520000.00","0.00","125299703.50","96170771.54","3173785.60"
"2022-07-31T00:00:00.000","Tuvalu","189630000.00","12731034.48","129139239.67","42155196.10","0.00"
"2022-07-31T00:00:00.000","Uganda","4994600000.00","0.00","3231004390.89","1516348393.11","1249843124.15"
"2022-07-31T00:00:00.000","Ukraine","1000000000.00","0.00","944480449.36","25930932.18","25121930.59"
"2022-07-31T00:00:00.000","Uzbekistan","2860400000.00","0.00","1999396312.66","861003687.34","861003687.34"
"2022-07-31T00:00:00.000","Vanuatu","285400000.00","0.00","142523961.15","134976447.98","92309081.77"
"2022-07-31T00:00:00.000","Vietnam","1826070000.00","85801595.69","1385356643.35","329625515.54","318474560.56"
"2022-07-31T00:00:00.000","Western and Central Africa","546500000.00","0.00","242126799.68","291922494.64","96914091.38"
"2022-07-31T00:00:00.000","Yemen, Republic of","2758950000.00","0.00","785164851.42","1942441380.50","0.00"
"2022-07-31T00:00:00.000","Zambia","1832500000.00","4194511.84","1213184820.86","589670966.92","572517334.41"
"2022-07-31T00:00:00.000","Zimbabwe","72000000.00","0.00","2566271.79","69904523.49","0.00"
