"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier_country","supplier_country_code","supplier_contract_amount_usd"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Enhancing Waterway Connectivity and Water Service Provision in Colombia&#8217;s Plan Pazcifico","Consultant Services","Quality And Cost-Based Selection","Transportation;Water, Sanitation and Waste Management","1700921","ESTUDIOS Y DISE&#209;OS PARA LA CONSTRUCCI&#211;N, REHABILITACI&#211;N Y MEJORAMIENTO DE LA INFRAESTRUCTURA DE MUELLES E
INSTALACIONES PORTUARIAS; Y PARA LA IMPLEMENTACI&#211;N DE LA SE&#209;ALIZACI&#211;N QUE PERMITA MEJORAR","2021-10-08T00:00:00.000","Argentine Republic","AR","925315.0"
"2022-09-12T00:00:00.000","2021","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Multipurpose Cadaster Project","Non-consulting Services","Request for Bids","Information and Communications Technologies;Agriculture, Fishing and Forestry;Public Administration","1639897","Adelantar los procesos de actualizacion catastral de 4 municipios del departamento de Boyaca financiados con recursos del Banco Mundial -BM (SOCHA, SOCOTA, SATIVASUR y TASCO)","2021-02-05T00:00:00.000","Argentine Republic","AR","1349719.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Enhancing Waterway Connectivity and Water Service Provision in Colombia&#8217;s Plan Pazcifico","Consultant Services","Consultant Qualification  Selection","Transportation;Water, Sanitation and Waste Management","1701685","Estructurar el modelo de administraci&#243;n, operaci&#243;n y mantenimiento de los terminales portuarios fluviales que
se van a mejorar y construir en los municipios del Pacifico sur de los departamentos","2022-01-18T00:00:00.000","Argentine Republic","AR","71458.0"
"2022-09-12T00:00:00.000","2017","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Mainstreaming Sustainable Cattle Ranching","Goods","Comercial Practices","Agriculture, Fishing and Forestry","1563403","Compra transmisores para monitore de biodiversidad","2017-03-06T00:00:00.000","Canada","CA","2280.0"
"2022-09-12T00:00:00.000","2019","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Access and Quality in Higher Education Project - PACES","Non-consulting Services","Request for Quotations","Education","1590803","Provisi&#243;n de servicios log&#237;sticos para actividades de capacitaci&#243;n, talleres y reuniones asociadas a la supervisi&#243;n de los contratos con las IES Ancla beneficiarias de las convocatorias Ecosistema Cie","2019-04-26T00:00:00.000","Cocos (Keeling) Islands","CC","11572.0"
"2022-09-12T00:00:00.000","2019","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Mainstreaming Sustainable Cattle Ranching","Non-consulting Services","Direct Selection","Agriculture, Fishing and Forestry","1576537","Suscripci&#243;n de los servicios de informaci&#243;n en aspectos econ&#243;micos y productivos de ganader&#237;a a nivel mundial","2019-01-15T00:00:00.000","Federal Republic of Germany","DE","5670.0"
"2022-09-12T00:00:00.000","2023","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Sustainable Low-Carbon Development in Orinoquia region Project","Consultant Services","Consultant Qualification  Selection","Agriculture, Fishing and Forestry","1706774","Identificar las mejores condiciones habilitantes para promover el desarrollo de plantaciones forestales sostenibles con fines comerciales en n&#250;cleos productivos de la Orinoquia","2022-08-23T00:00:00.000","Federative Republic of Brazil","BR","228482.0"
"2022-09-12T00:00:00.000","2021","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Multipurpose Cadaster Project","Non-consulting Services","Request for Bids","Information and Communications Technologies;Agriculture, Fishing and Forestry;Public Administration","1697479","Establecimiento y puesta en operaci&#243;n de Estaciones de Referencia de Operaci&#243;n Continua CORS y fortalecimiento del Centro de Control de la Red geod&#233;sica de la Rep&#250;blica de Colombia &#8211; IGAC.","2021-04-30T00:00:00.000","French Republic","CH","2310030.0"
"2022-09-12T00:00:00.000","2021","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Multipurpose Cadaster Project","Consultant Services","Individual Consultant Selection","Information and Communications Technologies;Agriculture, Fishing and Forestry;Public Administration","1678434","Gerente. Coordinar la unidad de Unidad de Gesti&#243;n de Fondo Acci&#243;n para el componente 5","2021-06-08T00:00:00.000","Italian Republic","IT","96097.0"
"2022-09-12T00:00:00.000","2019","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Colombia: Collective Reparation for Victims through Social Reconstruction Project","Consultant Services","Individual Consultant Selection","Education;Social Protection;Agriculture, Fishing and Forestry;Public Administration","1564857","Prestar sus servicios profesionales independientes de consultor&#237;a para apoyar al equipo del Proyecto UARIV - BM en el proceso de selecci&#243;n correspondiente al dise&#241;o de las soluciones de energ&#237;a solar","2018-08-17T00:00:00.000","Italian Republic","IT","9891.0"
"2022-09-12T00:00:00.000","2017","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Subnational Institutional Strengthening","Consultant Services","Quality And Cost-Based Selection","Public Administration","1678066","REALIZAR LA INTERVENTOR&#205;A T&#201;CNICA, ADMINISTRATIVA, JUR&#205;DICA Y FINANCIERA A LAS CONSULTOR&#205;AS CUYO OBJETO ES ESTABLECER LA METODOLOG&#205;A DE LA OPERACI&#211;N CATASTRAL RURAL Y URBANA","2017-01-26T00:00:00.000","Kingdom of Spain","ES","469048.0"
"2022-09-12T00:00:00.000","2021","LATIN AMERICA AND CARIBBEAN","Colombia","CO","CO Plan PAZcifico:Water Supply and Basic Sanitation Infrastructure and Service Delivery Project","Consultant Services","Quality And Cost-Based Selection","Water, Sanitation and Waste Management","1680157","&#8220;PRESTAR LOS SERVICIOS DE INTERVENTOR&#205;A (SUPERVISI&#211;N) T&#201;CNICA, ADMINISTRATIVA, FINANCIERA, LEGAL, AMBIENTAL Y SOCIAL PARA LOS PROYECTOS DE AGUA POTABLE Y SANEAMIENTO B&#193;SICO EN EL MUNICIPIO DE GUAPI""","2020-10-15T00:00:00.000","Kingdom of Spain","CO","1741710.0"
"2022-09-12T00:00:00.000","2017","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Subnational Institutional Strengthening","Consultant Services","Quality And Cost-Based Selection","Public Administration","1546605","Operadores Catastro Multiproposito Grupo 1","2017-01-25T00:00:00.000","Kingdom of Spain","ES","1163884.0"
"2022-09-12T00:00:00.000","2017","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Subnational Institutional Strengthening","Consultant Services","Quality And Cost-Based Selection","Public Administration","1546582","2004-215082 POT Modernos Grupo 1","2016-12-30T00:00:00.000","Kingdom of Spain","ES","4051426.0"
"2022-09-12T00:00:00.000","2017","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Support to the National Urban Transit Program Project","Consultant Services","Quality And Cost-Based Selection","Transportation","1545347","ASISTENCIA INTEGRAL A LAS ENTIDADES INVOLUCRADAS EN LA IMPLEMENTACION DE LA PRIMERA LINEA DE METRO DE BOGOT PLMB","2016-10-20T00:00:00.000","Republic of Chile","CL","1407151.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Colombia FCPF REDD Readiness","Non-consulting Services","Request for Quotations","Agriculture, Fishing and Forestry","1710549","Prestar el servicio de Streaming y red de internet dedicado para la transmisi&#243;n en vivo del evento de cierre del Proyecto Fondo Cooperativo para el Carbono de los Bosques (FCPF) en Colombia","2022-06-02T00:00:00.000","Republic of Colombia","CO","994.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Sustainable Low-Carbon Development in Orinoquia region Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1711117","Consultor para el an&#225;lisis de incertidumbre de datos de actividad en el grupo de Procesamiento Digital de Im&#225;genes del Sistema de Monitoreo de Bosques y Carbono (SMByC) del IDEAM","2022-06-17T00:00:00.000","Republic of Colombia","CO","14726.0"
"2022-09-12T00:00:00.000","2023","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Sustainable Low-Carbon Development in Orinoquia region Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1711135","Profesional apoyo t&#233;cnico componente de monitoreo de cultivos para la Infraestructura de Datos para la regi&#243;n de la Orinoqu&#237;a colombiana y el monitoreo de cultivos y pastos para ganader&#237;a como contrib","2022-07-12T00:00:00.000","Republic of Colombia","CO","20629.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Colombia FCPF REDD Readiness","Goods","Request for Quotations","Agriculture, Fishing and Forestry","1710865","Adquirir bienes (equipo de comunicaciones) para el desarrollo de las actividades en campo de monitoreo comunitario.","2021-11-24T00:00:00.000","Republic of Colombia","CO","1413.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Sustainable Low-Carbon Development in Orinoquia region Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1710999","Profesional de gesti&#243;n de cambio, uso y apropiaci&#243;n del Proyecto Infraestructura de datos para la regi&#243;n de la Orinoqu&#237;a colombiana y el monitoreo de cultivos y pastos para ganader&#237;a como contribuci&#243;n","2022-05-18T00:00:00.000","Republic of Colombia","CO","20257.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Sustainable Low-Carbon Development in Orinoquia region Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1711127","Prestar sus servicios profesionales con autonom&#237;a t&#233;cnica y administrativa para apoyar al MADR &#8211; Direcci&#243;n de Innovaci&#243;n, Desarrollo Tecnol&#243;gico y Protecci&#243;n Sanitaria en el seguimiento y consolidaci&#243;","2022-06-29T00:00:00.000","Republic of Colombia","CO","23181.0"
"2022-09-12T00:00:00.000","2023","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Multipurpose Cadaster Project","Non-consulting Services","Request for Bids","Information and Communications Technologies;Agriculture, Fishing and Forestry;Public Administration","1711320","Adquisici&#243;n de ortoim&#225;genes, como insumo para la actualizaci&#243;n de la informaci&#243;n geogr&#225;fica oficial e implementaci&#243;n del catastro multiprop&#243;sito con &#225;reas ambientalmente pritegidas. Lote 3","2022-08-23T00:00:00.000","Republic of Colombia","CO","240642.0"
"2022-09-12T00:00:00.000","2021","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Colombia FCPF REDD Readiness","Consultant Services","Consultant Qualification  Selection","Agriculture, Fishing and Forestry","1709604","Region Andes-Sur ID POA 89Construir una propuesta de Monitoreo Comunitario Participativo-MCP de bosques articulada con el Sistema de Monitoreo de Bosque y Carbono SMByC que incluya el fortalecimiento","2021-06-24T00:00:00.000","Republic of Colombia","CO","10326.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Colombia FCPF REDD Readiness","Consultant Services","Consultant Qualification  Selection","Agriculture, Fishing and Forestry","1709592","ID POA 116 - Desarrollar insumos t&#233;cnicos que contribuyan al fortalecimiento de los mercados de carbono nacionales.","2021-07-07T00:00:00.000","Republic of Colombia","CO","103257.0"
"2022-09-12T00:00:00.000","2023","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Forest Conservation and Sustainability in the Heart of the Colombian Amazon","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Public Administration","1709587","Prestar sus servicios profesionales para orientar la implementaci&#243;n de la Estrategia de Prevenci&#243;n y Gesti&#243;n de riesgo de vulneraciones a los Derechos Humanos e infracciones al Derecho Internacional","2022-08-30T00:00:00.000","Republic of Colombia","CO","11049.0"
"2022-09-12T00:00:00.000","2021","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Colombia FCPF REDD Readiness","Consultant Services","Consultant Qualification  Selection","Agriculture, Fishing and Forestry","1709568","Region Pac&#237;fico ID POA 89. Construir una propuesta de Monitoreo Comunitario Participativo-MCP de bosques articulada con el Sistema de Monitoreo de Bosque y Carbono SMByC que incluya el fortalecimiento","2021-06-22T00:00:00.000","Republic of Colombia","CO","10326.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Colombia","CO","Colombia FCPF REDD Readiness","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1709444","Apoyo para el seguimiento financiero y administrativo de las iniciativas comunitarias vinculadas a los pilotos de Monitoreo Comunitario Participativo del SMByC.","2021-07-01T00:00:00.000","Republic of Colombia","CO","7159.0"
