"as_of_date","fiscal_year","project_name","procurement_category","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd"
"2022-09-12T00:00:00.000","2017","Brazil Pernambuco Sustainable Water","Civil Works","1572983","Implantacao do Sistema de Esgotamento Sanitario da Sede do Municipio de Santa Cruz do Capibaribe - PE","2017-03-03T00:00:00.000","ACCIONA ÁGUA","Federative Republic of Brazil","28417618.0"
"2022-09-12T00:00:00.000","2017","Energy and Mineral Sector Strengthening","Consultant Services","1544367","Contrata&#231;&#227;o de Servi&#231;o de Consultoria T&#233;cnica Especializada para Elabora&#231;&#227;o do Modelo de Plano de Desenvolvimento Regional Sustent&#225;vel e a Implanta&#231;&#227;o de Usinas Hidrel&#233;tricas Estruturantes","2016-10-17T00:00:00.000","DIALOG INSTITUTO","Federative Republic of Brazil","234627.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1601233","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Mirante do Paranapanema (Presidente Venceslau).","2017-06-29T00:00:00.000","M.A.S. DA COSTA ME","Federative Republic of Brazil","42914.0"
"2022-09-12T00:00:00.000","2017","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1577715","Loca&#231;&#227;o de espa&#231;o e organiza&#231;&#227;o de minilounge para participa&#231;&#227;o na 3&#170; Conven&#231;&#227;o Anual de Vendas da CVC de divulga&#231;&#227;o tur&#237;stica, a ser realizada nos dias 16 a 20 de Fevereiro de 2017, em Foz do Igua&#231;u/","2017-02-14T00:00:00.000","CVC SERVIÇOS AGÊNCIA DE VIAGENS LTDA","Federative Republic of Brazil","66468.0"
"2022-09-12T00:00:00.000","2017","Rio Grande do Norte: Regional Development and Governance","Consultant Services","1542756","Desenvolver e Implantar o Sistema Integrado de Monitoramento e Avaliacao Institucional da SEEC - SIMAIS","2016-09-21T00:00:00.000","AVALIA QUALIDADE EDUCACIONAL LTDA.","Federative Republic of Brazil","1399449.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560899","Aquisi&#231;&#227;o de Material de Expediente","2017-05-23T00:00:00.000","V T A MACHADO DE ARRUDA EIRELI - EPP","Federative Republic of Brazil","61706.0"
"2022-09-12T00:00:00.000","2017","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Consultant Services","1582069","Contrato de Presta&#231;&#227;o de Consultor Individual n&#186; 008-CT082/2016, firmado entre o Estado da Bahia e Christine June Eida Madureira: Servi&#231;os de Tradu&#231;&#227;o e Vers&#227;o de Textos","2016-11-10T00:00:00.000","Individual Consultant","Federative Republic of Brazil","30815.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1596805","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Pereiras.","2017-05-25T00:00:00.000","TOTAL BRASIL TERCEIRIZAÇÕES E SERVIÇOS EIRELI ME","Federative Republic of Brazil","45968.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Civil Works","1600649","Contrata&#231;&#227;o de empresa especializada para presta&#231;&#227;o de servi&#231;os de reparos e adequa&#231;&#227;o do pr&#233;dio da Casa da Agricultura do Munic&#237;pio de Palmital.","2017-05-22T00:00:00.000","A.G.E. CONSTRUÇÕES EIRELI ME","Federative Republic of Brazil","36854.0"
"2022-09-12T00:00:00.000","2017","Sao Paulo Sustainable Rural Development and Access to Markets","Non-consulting Services","1572743","Execu&#231;&#227;o de servi&#231;o de conserva&#231;&#227;o e manuten&#231;&#227;o Geral do Centro Regional II - Ara&#231;atuba da Secretaria do Meio Ambiente - S&#227;o Paulo","2017-06-01T00:00:00.000","TÉCNICA CONSTRUÇÕES, SERVIÇOS E COMÉRCIO EIRELI - EPP","Federative Republic of Brazil","74045.0"
"2022-09-12T00:00:00.000","2017","Brazil Pernambuco Sustainable Water","Non-consulting Services","1580938","GMF LOCA&#199;&#195;O DE VE&#205;CULOS EIRELI - EPP","2017-03-22T00:00:00.000","GMF LOCAÇÃO DE VEÍCULOS EIRELI - EPP","Federative Republic of Brazil","41848.0"
"2022-09-12T00:00:00.000","2017","BRAZIL BAHIA SUSTAINABLE RURAL DEVELOPMENT PROJECT","Consultant Services","1625850","Prestacao de servico de consultoria para o servi&#231;o de Assist&#234;ncia T&#233;cnica e Extens&#227;o Rural - ATER referente ao lote V - Baixo Sul.","2017-03-03T00:00:00.000","SERVIÇO DE ASSESSORIA A ORGANIZAÇÃO POPULAR RURAL","Federative Republic of Brazil","186649.0"
"2022-09-12T00:00:00.000","2017","Brazil Pernambuco Sustainable Water","Consultant Services","1569710","Elabora&#231;&#227;o de Estudos e Projetos (Diagnostico, RTP, Projeto Basico e Estudos Complementares) visando a implantacao dos Sistemas de Esgotamento Sanitario de sedes de 11 (onze) municipios","2017-05-23T00:00:00.000","AQUALOGUS - ENGENHARIA E AMBIENTE, LDA","Federative Republic of Brazil","2373540.0"
"2022-09-12T00:00:00.000","2017","CLEAR - Brazil","Consultant Services","1618842","Clear Junior - Desenvolvimento de relat&#243;rio Polyce Briefs","2017-04-10T00:00:00.000","Individual Consultant","Federative Republic of Brazil","5139.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560268","AQUISI&#199;&#195;O DE  MOBILI&#193;RIO - LOTE 05","2016-07-01T00:00:00.000","LICITAL INDUSTRIA E COMERCIO DE MOVEIS  EIRELI","Federative Republic of Brazil","125285.0"
"2022-09-12T00:00:00.000","2017","Recife Swap Education and Public Management","Goods","1560702","Aquisi&#231;&#227;o de PlayGround","2016-08-12T00:00:00.000","BRINK MOBIL EQUIPAMENTOS EDUCACIONAIS","Federative Republic of Brazil","232921.0"
"2022-09-12T00:00:00.000","2017","CLEAR - Brazil","Consultant Services","1618856","Workshops nas cinco regioes FNP Frente Nacional dos Prefeitos - Aulas 40 horas aula","2017-05-05T00:00:00.000","Individual Consultant","Federative Republic of Brazil","657.0"
"2022-09-12T00:00:00.000","2017","CLEAR - Brazil","Consultant Services","1601742","Coordena&#231;&#227;o do Projeto Clear nos tr&#234;s compontentes","2017-05-15T00:00:00.000","Individual Consultant","Federative Republic of Brazil","23584.0"
"2022-09-12T00:00:00.000","2017","Strengthening Service Delivery for Growth, Poverty Reduction and Enviromental Sustainability in the State of Cear&#225; PforR","Consultant Services","1544200","Contrata&#195;&#402;&#194;&#167;&#195;&#402;&#194;&#163;o de um Consultor Individual para apoiar a UGP/IPECE na coordena&#195;&#402;&#194;&#167;&#195;&#402;&#194;&#163;o dos Projetos de Assist&#195;&#402;&#194;&#170;ncia T&#195;&#402;&#194;&#169;cnica do Projeto de Apoio ao Crescimento Econ&#195;&#402;&#194;&#180;mico com Redu&#195;&#402;&#194;&#167;&#195;&#402;&#194;&#163;o da","2016-08-23T00:00:00.000","CARLOS ALBERTO MANSO","Federative Republic of Brazil","33126.0"
"2022-09-12T00:00:00.000","2017","Energy and Mineral Sector Strengthening","Goods","1544505","Aquisi&#231;&#227;o de equipamentos para armazenagem e processamento dos dados e imagens geof&#237;sicas e para estudos preventivos de des astres naturais (Eletrorresistiv&#237;metros)","2016-11-24T00:00:00.000","HASAGEO COMERCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA  EPP","Federative Republic of Brazil","328819.0"
"2022-09-12T00:00:00.000","2017","BRAZIL BAHIA SUSTAINABLE RURAL DEVELOPMENT PROJECT","Consultant Services","1625847","Prestacao de servico de consultoria para o servi&#231;o de Assist&#234;ncia T&#233;cnica e Extens&#227;o Rural - ATER referente ao lote XXV -Sudoeste Baiano.","2017-03-03T00:00:00.000","COOPERATIVA DE TRABALHO DA REGIÃO SUDOESTE DA BAHIA","Federative Republic of Brazil","181223.0"
"2022-09-12T00:00:00.000","2017","Rio Grande do Norte: Regional Development and Governance","Non-consulting Services","1577482","Loca&#231;&#227;o de espa&#231;o e organiza&#231;&#227;o de estande para participa&#231;&#227;o no evento 12&#186; Festival de Turismo das Cataratas de 28 a 30 de Junho de 2017.","2017-06-06T00:00:00.000","DE ANGELI FEIRAS E EVENTOS LTDA","Federative Republic of Brazil","22853.0"
"2022-09-12T00:00:00.000","2017","BAHIA ROAD REHABILITATION AND MAINTENANCE PROJECT - 2ND PHASE","Consultant Services","1592839","Contrato de Presta&#231;&#227;o de servi&#231;os de consultoria celebrado entre o Estado da Bahia e o Sr. Marco T&#250;lio Peixoto Pimenta.  Consultor Individual Especialista em Seguran&#231;a Vi&#225;ria.","2017-04-12T00:00:00.000","Individual Consultant","Federative Republic of Brazil","131456.0"
