"organization","category","line_item","fiscal_year","amount_us_millions"
"IBRD","Assets","Derivative assets, net","2015","4031"
"IBRD","Assets","Due from Banks","2015","388"
"IBRD","Assets","Investments","2015","49951"
"IBRD","Assets","Net loans outstanding","2015","155040"
"IBRD","Assets","Other assets","2015","3521"
"IBRD","Liabilities","Borrowings","2015","160980"
"IBRD","Liabilities","Derivative liabilities, net","2015","4314"
"IBRD","Liabilities","Equity","2015","38637"
"IBRD","Liabilities","Other liabilities","2015","9000"
"IDA","Assets","Derivative assets, net","2015","82"
"IDA","Assets","Due from Banks","2015","356"
"IDA","Assets","Investments","2015","33173"
"IDA","Assets","Net Loans Outstanding","2015","126760"
"IDA","Assets","Other assets","2015","2863"
"IDA","Liabilities","Borrowings","2015","2150"
"IDA","Liabilities","Derivative liabilities, net","2015","63"
"IDA","Liabilities","Equity","2015","147149"
"IDA","Liabilities","Other liabilities","2015","13872"
"IFC","Assets","Cash, Deposits, Trading and other Liquid Asset Securities","2015","43817"
"IFC","Assets","Debt Securities","2015","2739"
"IFC","Assets","Equity Investments","2015","13503"
"IFC","Assets","Loans, Net of Reserves against Losses","2015","21336"
"IFC","Assets","Other Assets, including Derivative Assets","2015","6153"
"IFC","Capital","Accumulated Other Comprehensive Income (Loss)","2015","1197"
"IFC","Capital","Designated Retained Earnings","2015","184"
"IFC","Capital","Non-controlling interests","2015","22"
"IFC","Capital","Paid-in Capital","2015","2566"
"IFC","Capital","Undesignated Retained Earnings","2015","20457"
"IFC","Liabilities","Borrowings Outstanding","2015","51265"
"IFC","Liabilities","Other liabilities, including Derivative Liabilities","2015","11857"
"MIGA","Assets","Cash and Investments (including Derivatives)","2015","1387"
"MIGA","Assets","Demand Notes and Other Assets","2015","149"
"MIGA","Assets","Reinsurance recoverable, net","2015","125"
"MIGA","Assets","Prepaid Premium","2015","137"
"MIGA","Equity","Paid-in Capital","2015","366"
"MIGA","Equity","Retained Earnings/ Accumulated Other Comprehensive Loss","2015","605"
"MIGA","Liabilities","Derivative Liabilities","2015","0"
"MIGA","Liabilities","Other Liabilities","2015","114"
"MIGA","Liabilities","Reserve for claims (gross)","2015","466"
"MIGA","Liabilities","Unearned Premiums","2015","247"
"IBRD","Assets","Derivative assets, net","2016","4636"
"IBRD","Assets","Due from Banks","2016","1284"
"IBRD","Assets","Investments","2016","53522"
"IBRD","Assets","Net loans outstanding","2016","167643"
"IBRD","Assets","Other assets","2016","4323"
"IBRD","Liabilities","Borrowings","2016","181723"
"IBRD","Liabilities","Derivative liabilities, net","2016","3535"
"IBRD","Liabilities","Equity","2016","37063"
"IBRD","Liabilities","Other liabilities","2016","9087"
"IDA","Assets","Derivative assets, net","2016","348"
"IDA","Assets","Due from Banks","2016","672"
"IDA","Assets","Investments","2016","31493"
"IDA","Assets","Net Loans Outstanding","2016","132825"
"IDA","Assets","Other assets","2016","2647"
"IDA","Liabilities","Borrowings","2016","2906"
"IDA","Liabilities","Derivative liabilities, net","2016","248"
"IDA","Liabilities","Equity","2016","154700"
"IDA","Liabilities","Other liabilities","2016","10131"
"IFC","Assets","Cash, Deposits, Trading and other Liquid Asset Securities","2016","46212"
"IFC","Assets","Debt Securities","2016","2900"
"IFC","Assets","Equity Investments","2016","12588"
"IFC","Assets","Loans, Net of Reserves against Losses","2016","21868"
"IFC","Assets","Other Assets, including Derivative Assets","2016","6866"
"IFC","Capital","Accumulated Other Comprehensive Income (Loss)","2016","-431"
"IFC","Capital","Designated Retained Earnings","2016","133"
"IFC","Capital","Non-controlling interests","2016","23"
"IFC","Capital","Paid-in Capital","2016","2566"
"IFC","Capital","Undesignated Retained Earnings","2016","20475"
"IFC","Liabilities","Borrowings Outstanding","2016","55142"
"IFC","Liabilities","Other liabilities, including Derivative Liabilities","2016","12526"
"MIGA","Assets","Cash and Investments (including Derivatives)","2016","1356"
"MIGA","Assets","Demand Notes and Other Assets","2016","253"
"MIGA","Assets","Reinsurance recoverable, net","2016","216"
"MIGA","Assets","Prepaid Premium","2016","182"
"MIGA","Equity","Paid-in Capital","2016","366"
"MIGA","Equity","Retained Earnings/ Accumulated Other Comprehensive Loss","2016","622"
"MIGA","Liabilities","Derivative Liabilities","2016","16"
"MIGA","Liabilities","Other Liabilities","2016","308"
"MIGA","Liabilities","Reserve for claims (gross)","2016","546"
"MIGA","Liabilities","Unearned Premiums","2016","149"
