"fiscal_year","region","borrower_country","major_sector","supplier_contract_amount_usd"
"2017","LATIN AMERICA AND CARIBBEAN","Paraguay","Water, Sanitation and Waste Management","3081933.0"
"2017","LATIN AMERICA AND CARIBBEAN","Paraguay","Energy and Extractives","7505900.0"
"2017","LATIN AMERICA AND CARIBBEAN","Paraguay","Water, Sanitation and Waste Management","2297586.0"
"2020","LATIN AMERICA AND CARIBBEAN","Paraguay","Health;Education;Public Administration","2100.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Transportation","803235.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Transportation","37278494.0"
"2017","LATIN AMERICA AND CARIBBEAN","Paraguay","Energy and Extractives","4970900.0"
"2017","LATIN AMERICA AND CARIBBEAN","Paraguay","Energy and Extractives","1506437.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Health;Education;Public Administration","3000.0"
"2023","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","22687.0"
"2023","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","1067411.0"
"2023","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","1182058.0"
"2023","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","1344820.0"
"2023","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","669521.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","738911.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","109805.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","1150016.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","905711.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","833948.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","765320.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","129728.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","1247989.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","112778.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","169167.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","52802.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","49665.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","626261.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","107826.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","71884.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","1067367.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","88003.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","346785.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Health","375757.0"
"2023","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","116632.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","6554.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","4071.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","4071.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","29131.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","22709.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","113013.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1981.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1981.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1981.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1981.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1981.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1981.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1981.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1981.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1981.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1981.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1722.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","13797.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","5166.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","459004.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","360874.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","37806.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","407959.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","124879.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","73796.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","1997.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","258730.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","212070.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","14974.0"
"2022","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","38956.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
"2021","LATIN AMERICA AND CARIBBEAN","Paraguay","Social Protection;Agriculture, Fishing and Forestry;Industry, Trade and Services","663.0"
