"loan_number","country","project_name","original_principal_amount","board_approval_date"
"IBRD45260","Kazakhstan","ELEC TRANS REHAB","140000000.00","1999-12-21T00:00:00.000"
"IBRD46090","Kazakhstan","SYR DARYA CONTROL N. ARAL SEA","64500000.00","2001-06-05T00:00:00.000"
"IBRD46930","Kazakhstan","NURA RIVER CLEAN-UP","40390000.00","2003-05-08T00:00:00.000"
"IBRD47630","Kazakhstan","AG POST PRIV ASSIST (APL #2)","35000000.00","2004-12-13T00:00:00.000"
"IBRD47740","Kazakhstan","AGRIC COMPETITIVENESS","24000000.00","2005-04-28T00:00:00.000"
"IBRD48050","Kazakhstan","N-S ELEC TRANSM","100000000.00","2005-10-27T00:00:00.000"
"IBRD48080","Kazakhstan","FORESTRY","30000000.00","2005-11-29T00:00:00.000"
"IBRD48480","Kazakhstan","UST-KAMENOGORSK ENV REMED","24290000.00","2007-02-01T00:00:00.000"
"IBRD48740","Kazakhstan","CUSTOMS DEVT","18500000.00","2007-11-27T00:00:00.000"
"IBRD48830","Kazakhstan","HLTH SEC TECH (JERP)","117700000.00","2008-01-15T00:00:00.000"
"IBRD48840","Kazakhstan","KZ Tech Commercialization","13400000.00","2008-01-15T00:00:00.000"
"IBRD76810","Kazakhstan","SOUTH WEST ROADS","2125000000.00","2009-04-30T00:00:00.000"
"IBRD77380","Kazakhstan","MOINAK ELECTRICITY TRANS PROJECT","48000000.00","2009-09-15T00:00:00.000"
"IBRD78350","Kazakhstan","Tax Administration Reform Project","17000000.00","2010-02-16T00:00:00.000"
"IBRD79110","Kazakhstan","DPL","1000000000.00","2010-05-25T00:00:00.000"
"IBRD79310","Kazakhstan","TVEM","29230000.00","2010-07-08T00:00:00.000"
"IBRD79650","Kazakhstan","ALMA TRANSMISSION PROJECT","78000000.00","2010-11-16T00:00:00.000"
"IBRD80230","Kazakhstan","KAZSTAT","20000000.00","2011-03-31T00:00:00.000"
"IBRD81560","Kazakhstan","EAST-WEST ROADS","1068000000.00","2012-05-01T00:00:00.000"
