"date_disclosed","project_name","document_type","project_number","product_line","company_name","country","ifc_country_code","industry","environmental_category","department","status","project_board_date","ifc_investment_for_risk_management_million_usd","ifc_investment_for_guarantee_million_usd","ifc_investment_for_loan_million_usd","ifc_investment_for_equity_million_usd","total_ifc_investment_as_approved_by_board_million_usd","country_code","as_of_date"
"2007-05-04T00:00:00.000","Association Al Amana pour la Promotion des Microentreprises","Summary of Proposed Investment (Disclosure Policy 2006)","25927","Guarantee","AL AMANA MICROFINANCE","Morocco","MYC","Financial Institutions","FI","Regional Industry - FIG Africa","Completed","2007-06-05T00:00:00.000",,"15.16","5.05",,"20.21","MA","2022-08-30T03:05:00.000"
"2005-12-01T00:00:00.000","FONDEP","Summary of Proposed Investment (Disclosure Policy 2006)","24441","Guarantee","FONDATION ARRAWAJ DE LA FINANCE INCLUSIVE","Morocco","MYC","Financial Institutions","FI","Global Industry, Financial Markets","Completed","2006-01-03T00:00:00.000",,"3.34",,,"3.34","MA","2022-08-30T03:05:00.000"
"2004-07-14T00:00:00.000","GEF PVMTI Sun Power Maroc","Summary of Proposed Investment (Disclosure Policy 2006)","523686",,"UNKNOWN","Morocco","MYC","Infrastructure","C","Advisory Services","Completed","2004-08-20T00:00:00.000",,,,,,"MA","2022-08-30T03:05:00.000"
"2003-02-06T00:00:00.000","GEF PVMTIZakoura","Summary of Proposed Investment (Disclosure Policy 2006)","520506",,"UNKNOWN","Morocco","MYC","Infrastructure","C","Advisory Services","Completed","2003-03-12T00:00:00.000",,,,,,"MA","2022-08-30T03:05:00.000"
"2002-07-08T00:00:00.000","GEF PVMTI Al Amana & Noor Web","Summary of Proposed Investment (Disclosure Policy 2006)","508073",,"AL AMANA MICROFINANCE","Morocco","MYC","Infrastructure","C","Risk Mgmt. and Financial Policy","Pending Approval","2002-08-09T00:00:00.000",,,,,,"MA","2022-08-30T03:05:00.000"
"2001-08-30T00:00:00.000","GEF PVMTI Salafin","Summary of Proposed Investment (Disclosure Policy 2006)","507094",,"UNKNOWN","Morocco","MYC","Infrastructure","C","Advisory Services","Completed","2001-10-01T00:00:00.000",,,,,,"MA","2022-08-30T03:05:00.000"
"2000-06-12T00:00:00.000","Medi Telecom","Summary of Proposed Investment (Disclosure Policy 2006)","10200","Loan","MEDI TELECOM","Morocco","MYC","Telecommunications, Media, and Technology","B","TMT, Venture Capital &amp; Funds","Completed","2000-07-20T00:00:00.000",,,"93.95",,"93.95","MA","2022-08-30T03:05:00.000"
"1999-07-08T00:00:00.000","Maghreb Fund Ltd (The Fund)","Summary of Proposed Investment (Disclosure Policy 2006)","9516","Equity","MAGHREB PRIVATE EQUITY FUND LIMITED","Morocco","MYC","other","FI","Disruptive Technologies and Funds","Completed",,,,,"5.0","5.0","MA","2022-08-30T03:05:00.000"
"1998-03-30T00:00:00.000","Settavex","Summary of Proposed Investment (Disclosure Policy 2006)","8703","Loan","Settavex","Morocco","MYC","Manufacturing","B","Regional Industry - MAS Africa","Completed",,,,"5.42","9.0","14.42","MA","2022-08-30T03:05:00.000"
"1996-05-29T00:00:00.000","Banque Marocaine du Commerce Exterieur/GDR Issue","Summary of Proposed Investment (Disclosure Policy 2006)","7173",,"BANK OF AFRICA","Morocco","MYC","Financial Institutions","C","Regional Industry - FIG Africa","Completed",,,,,,,"MA","2022-08-30T03:05:00.000"
