"fiscal_year","borrower_country","project_name","procurement_category","procurement_method","major_sector","contract_description","supplier","supplier_contract_amount_usd"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 8 GLICLAZIDA","LAFEDAR S.A","1964106.0"
"2023","Argentina","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Non-consulting Services","Request for Quotations","Energy and Extractives;Social Protection","Lote N&#176; 1 libretas por un monto total de pesos cuarenta y dos mil
sesenta y nueve ($ 42.069,00).","CASANO GRAFICA SA","310.0"
"2023","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","adquisici&#243;n de libros para escuelas","KAPELUZ EDITORA","27936.0"
"2023","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","adquisici&#243;n de libros para escuelas","TINTA FRESCA EDICIONES","69609.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 3 CARVEDILOL (segundo contrato)","SAVANT PHARM","17032.0"
"2023","Argentina","Improving Inclusion in Secondary and Higher Education","Consultant Services","Direct Selection","Education","IMPLEMENTACI&#211;N DEL SISTEMA DE GESTI&#211;N ESCOLAR","LAMANSYS SAS","1508934.0"
"2023","Argentina","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Non-consulting Services","Request for Quotations","Energy and Extractives;Social Protection","Lote N&#176; 3 boligrafos por un monto de pesos cuatro mil novecientos con cincuenta ($ 4.900,50","SERRA SERGIO DANIEL","36.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 3 CARVEDILOL (primer contrato)","KLONAL S.R.L.","16431.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro 6 ESPIRONOLACTONA (primer contrato)","KLONAL S.R.L.","65623.0"
"2023","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","adquisici&#243;n de libros para escuelas","EDICIONES SANTILLANA","122287.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro 6 ESPIRONOLACTONA (segundo contrato)","LAFEDAR S.A","66458.0"
"2023","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","adquisici&#243;n de libros para escuelas","EDITORIAL LONGSELLER SA","89788.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Direct Selection","Health","Trastuzumab 600 mg y Pertuzumab 420","PRODUCTOS ROCHE SAQEI","589200.0"
"2023","Argentina","Argentina Second Rural Education Improvement Project - PROMER-II","Goods","Direct Selection","Education","adquisici&#243;n de libros para escuelas","30708762756","30146.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 7 FUROSEMIDA (primer contrato)","KLONAL S.R.L.","54751.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro. 4: CARVEDILOL (segundo contrato)","KLONAL S.R.L.","221415.0"
"2023","Argentina","Salado Integrated River Basin Management Support Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","Especialista en Ambiente y Adaptaci&#243;n y Vulnerabilidad al Cambio Clim&#225;tico - JESSICA VIAND","Individual Consultant","4189.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Direct Selection","Health","Adquisici&#243;n de Nivolumab 40 mg y Nivolumab 100 mg","SUIZO ARGENTINA","1077390.0"
"2023","Argentina","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","Lote Nro 1 ATENOLOL (primer contrato)","KLONAL S.R.L.","46419.0"
"2023","Argentina","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Non-consulting Services","Request for Quotations","Energy and Extractives;Social Protection","Lote N&#176; 2 cuadernillos por un monto total de pesos cinco millones
cuatrocientos cuarenta y un mil cuatrocientos ($ 5.441.400,00)","MELENZANE S.A","40148.0"
