"country","undisbursed_amount","disbursed_amount","repaid_to_ibrd","borrower_s_obligation"
"Azerbaijan","163615315.09","2783249582.83","1403768245.38","1379481337.45"
"Kazakhstan","950311201.93","7023091668.45","3687904779.81","3335186888.64"
"Poland","355759429.39","14872623945.81","7257472497.40","6035739411.60"
"Serbia","603337256.67","5454624444.55","4066868894.25","2285208487.55"
"Turkmenistan","4994518.81","52904915.09","37899433.90","15005481.19"
"Uzbekistan","704698686.05","2667281250.52","534951500.48","2132329750.05"
