"country","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount"
"India","6688740000.00","1585469142.27","0.00","5103270857.73"
"Mexico","6368500000.00","588976640.82","0.00","5779523359.18"
"Indonesia","4800111622.30","137097075.67","0.00","4663014546.63"
"South Africa","3750000000.00","590389218.96","0.00","3153530829.10"
"Brazil","3744596000.00","394465367.77","0.00","3350130632.23"
"Turkiye","2990000000.00","14097491.02","0.00","2848161546.59"
"Egypt, Arab Republic of","2155000000.00","97940113.99","0.00","2057059886.01"
"China","1414000000.00","258644357.35","0.00","1155355642.65"
"Hungary","1413210000.00","1413210000.00","0.00","0.00"
"Poland","1331300000.00","0.00","0.00","1256550000.00"
"Colombia","1172812000.00","26217384.32","0.00","1146594615.68"
"Kazakhstan","1065000000.00","10273893.55","2933548.01","1051792558.44"
"Morocco","729519000.00","70478821.74","0.00","616520462.58"
"Vietnam","700000000.00","0.00","0.00","700000000.00"
"Philippines","685000000.00","667154.10","0.00","684332845.90"
"Argentina","634000000.00","126610588.30","0.00","507389411.70"
"Serbia","588000000.00","14.10","0.00","533618913.31"
"Croatia","474270000.00","13147786.24","0.00","424208396.37"
"Guatemala","464500000.00","114500000.00","0.00","350000000.00"
"Ukraine","460000000.00","24121064.42","0.00","435878935.58"
"Latvia","426550000.00","0.00","0.00","429974150.00"
"Romania","422990000.00","0.00","0.00","449025000.00"
"Botswana","379061341.00","88173796.93","224822592.65","66064951.42"
"Dominican Republic","360500000.00","4413728.63","0.00","356086271.37"
"Peru","360000000.00","150102377.04","0.00","209897622.96"
"Jordan","300000000.00","0.00","0.00","300000000.00"
"Iraq","250000000.00","0.00","0.00","250000000.00"
"El Salvador","250000000.00","6293948.27","0.00","243706051.73"
"Belarus","242506000.00","1629601.13","0.00","240965595.20"
"Jamaica","231000000.00","314829.22","0.00","230685170.78"
"Georgia","205000000.00","997699.39","0.00","204002300.61"
"Azerbaijan","171600000.00","0.00","0.00","171600000.00"
"Bosnia and Herzegovina","150000000.00","4390462.04","0.00","133480273.59"
"Mauritius","120000000.00","22006949.59","0.00","97993050.41"
"Bulgaria","118700000.00","40118834.52","0.00","63816307.20"
"Tunisia","88100000.00","16051445.89","0.00","72048554.11"
"Armenia","87600000.00","280571.57","0.00","87319428.43"
"Thailand","79300000.00","79076418.46","0.00","223581.54"
"North Macedonia","42100000.00","52679.12","0.00","39109755.85"
"Panama","40000000.00","15449330.88","0.00","24550669.12"
"Uruguay","29900000.00","0.00","0.00","30515877.43"
"Seychelles","9000000.00","0.00","0.00","9012233.60"
"Montenegro","7200000.00","93246.93","0.00","6664047.04"
"Grenada","4500000.00","0.00","0.00","4500000.00"
"St. Lucia","4000000.00","0.00","0.00","4000000.00"
"Chile","3000000.00","1722432.00","0.00","1277568.00"
