"date_disclosed","project_name","project_number","product_line","company_name","country","industry","environmental_category","department","status","project_board_date","ifc_investment_for_loan_million_usd","total_ifc_investment_as_approved_by_board_million_usd"
"2022-08-31T00:00:00.000","KCB Senior Loan","46587","Loan","KCB BANK KENYA LIMITED","Kenya","Financial Institutions","FI-2","Regional Industry - FIG Africa","Pending","2022-06-29T00:00:00.000","150.0","150.0"
"2022-08-08T00:00:00.000","DCM TTB GreenBlue 2021","46019","Loan","TMB THANACHART BANK PUBLIC COMPANY LIMITED","Thailand","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2022-02-23T00:00:00.000","150.0","150.0"
"2022-07-22T00:00:00.000","BOP Evocabank","46617","Loan","EVOCABANK CLOSED JOINT STOCK COMPANY","Armenia","Financial Institutions","FI-2","Regional Industry - FIG - ECA","Pending","2022-08-12T00:00:00.000","15.0","15.0"
"2022-07-21T00:00:00.000","BOP CRDB TZ-Senior Loans","46204","Loan","CRDB BANK PLC","Tanzania","Financial Institutions","FI-2","CF3S2 - Regional Industry - FIG Africa/FIG Africa East & South","Active","2022-06-24T00:00:00.000","105.0","105.0"
"2022-07-06T00:00:00.000","KB Bukopin Debt","45295","Loan","BANK KB BUKOPIN, PT TBK","Indonesia","Financial Institutions","FI-2","CF4S4 - Regional Industry - FIG Asia & Pac/FIG Inv Ops East Asia & Pacific","Active","2022-03-30T00:00:00.000","300.0","300.0"
"2022-07-01T00:00:00.000","SeABank Convert","46462","Loan","SOUTHEAST ASIA COMMERCIAL JOINT STOCK BANK","Vietnam","Financial Institutions","FI-1","Regional Industry - FIG Asia & Pac","Pending","2022-05-31T00:00:00.000","75.0","75.0"
"2022-06-30T00:00:00.000","Ege Endustri","46143","Loan","EGE ENDUSTRI VE TICARET A.S. EGE SERBEST BOLGE SUBESI","Türkiye","Manufacturing","B","Regional Industry MAS MCT","Pending","2022-06-17T00:00:00.000","42.79","42.79"
"2022-06-30T00:00:00.000","BGrimm Bond","46101","Loan","B.GRIMM POWER PUBLIC COMPANY LIMITED","Thailand","Infrastructure","B","Regional Industry - INF Asia & Pac","Pending","2022-06-10T00:00:00.000","110.0","110.0"
"2022-06-29T00:00:00.000","Absa Housing","46933","Loan","ABSA BANK LTD","South Africa","Financial Institutions","FI-3","Regional Industry - FIG Africa","Active","2022-06-28T00:00:00.000","128.12","128.12"
"2022-06-24T00:00:00.000","RSE Covid HSA","46486","Loan","NATIONAL DAIRY AND FOOD COMPANY LTD","Yemen, Republic of","Agribusiness and Forestry","B","Regional Industry MAS MCT","Pending","2022-03-17T00:00:00.000","20.0","20.0"
"2022-06-23T00:00:00.000","Dialog 2021","46205","Loan","DIALOG AXIATA PLC","Sri Lanka","Telecommunications, Media, and Technology","B","Regional Industry - INF Asia & Pac","Active","2022-05-27T00:00:00.000","150.0","150.0"
"2022-06-23T00:00:00.000","Olam WC Loan","46759","Loan","OLAM INTERNATIONAL LIMITED","World Region","Agribusiness and Forestry","B","Gbl Ind, Manufact, Agribus & Services","Active","2022-06-27T00:00:00.000","200.0","200.0"
"2022-06-22T00:00:00.000","WCS COVID Daycoval II","47014","Loan","Banco Daycoval S/A.","Brazil","Financial Institutions","FI-2","Regional Industry - FIG LAC","Active","2022-06-21T00:00:00.000","100.0","100.0"
"2022-06-20T00:00:00.000","DCM BQD Blue Bond","43703","Loan","Bank Of Qingdao Co., Ltd.","China","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Pending","2021-06-01T00:00:00.000","150.0","150.0"
"2022-06-16T00:00:00.000","DCM BCR MREL 2","46493","Loan","BANCA COMERCIALA ROMANA SA","Romania","Financial Institutions","FI-3","Regional Industry - FIG - ECA","Active","2022-06-03T00:00:00.000","115.0","115.0"
"2022-06-15T00:00:00.000","Isbank DPR","46006","Loan","TURKIYE IS BANKASI ANONIM SIRKETI","Türkiye","Financial Institutions","FI-3","Regional Industry FIG MCT","Active","2022-07-15T00:00:00.000","100.0","100.0"
"2022-05-28T00:00:00.000","WCS CR Banpais","44278","Loan","Banco del Pais S.A.","Honduras","Financial Institutions","FI-2","Regional Industry - FIG LAC","Active","2022-06-27T00:00:00.000","60.0","60.0"
"2022-05-27T00:00:00.000","BBVA Colombia Green Senior Loan","46526","Loan","BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S A","Colombia","Financial Institutions","FI-2","Regional Industry - FIG LAC","Active","2022-06-27T00:00:00.000","200.0","200.0"
"2022-05-26T00:00:00.000","Chola 2022 Loan","46715","Loan","CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED","India","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2022-06-27T00:00:00.000","150.0","150.0"
"2022-05-26T00:00:00.000","DCM Manappuram","46651","Loan","MANAPPURAM FINANCE LIMITED","India","Financial Institutions","FI-3","Regional Industry - FIG Asia & Pac","Active","2022-06-27T00:00:00.000","100.74","100.74"
"2022-05-26T00:00:00.000","Agrocorp Corporate Loan","45872","Loan","AGROCORP INTERNATIONAL PTE LTD","Bangladesh","Agribusiness and Forestry","B","Regional Industry - MAS Asia & Pac","Pending","2022-06-28T00:00:00.000","18.0","18.0"
"2022-05-25T00:00:00.000","BOP Grameen ","45403","Loan","CREDITACCESS GRAMEEN LIMITED","India","Financial Institutions","FI-3","Regional Industry - FIG Asia & Pac","Active","2022-06-20T00:00:00.000","50.0","50.0"
"2022-05-25T00:00:00.000","DTRT CMT Expan.","46656","Loan","DTRT APPAREL MAURITIUS LTD","Ghana","Manufacturing","B","Regional Industry - MAS Africa","Pending","2022-06-27T00:00:00.000","4.0","4.0"
"2022-05-24T00:00:00.000","FCS RE SCE Senior Loan","45510","Loan","SOCIETE CAMEROUNAISE D'EQUIPEMENT S A","Cameroon","Financial Institutions","FI-2","Regional Industry - FIG Africa","Pending","2022-06-24T00:00:00.000","3.20","3.2"
"2022-05-23T00:00:00.000","DCM Access Bank Total Return Swap","45332","Loan","Plover SARL","Nigeria","Financial Institutions","FI-2","Regional Industry - FIG Africa","Pending","2022-06-24T00:00:00.000","50.0","50.0"
"2022-05-19T00:00:00.000","Platcorp","45387","Loan","PLATCORP HOLDINGS","Eastern Africa Region","Financial Institutions","FI-3","Regional Industry - FIG Africa","Pending","2022-06-24T00:00:00.000","25.0","25.0"
"2022-05-18T00:00:00.000","Peo MSME","46378","Loan","PEO FINANCE PROPRIETARY LIMITED","Botswana","Financial Institutions","FI-3","Regional Industry - FIG Africa","Pending","2022-06-19T00:00:00.000","40.0","40.0"
"2022-05-17T00:00:00.000","Sanima SME 2022","46571","Loan","SANIMA BANK LIMITED","Nepal","Financial Institutions","FI-2","Regional Industry - FIG Asia & Pac","Active","2022-06-24T00:00:00.000","20.0","20.0"
"2022-05-17T00:00:00.000","FCS Risk Envelope Bar Magen","45757","Loan","BERGMAN INDUSTRIES LIMITED","Nigeria","Manufacturing","B","Regional Industry - MAS Africa","Pending","2022-06-13T00:00:00.000","4.50","4.5"
"2022-05-17T00:00:00.000","Zambeef III ZMW","46603","Loan","ZAMBEEF PRODUCTS PLC","Zambia","Agribusiness and Forestry","B","Regional Industry - MAS Africa","Pending","2022-06-27T00:00:00.000","35.0","35.0"
"2022-05-13T00:00:00.000","DARP SA Nimble","46502","Loan","NIMBLE CREDIT FACILITY II PROPRIETARY LIMITED","Southern Africa Region","Financial Institutions","FI-2","Regional Industry - FIG Africa","Pending","2022-06-15T00:00:00.000","40.0","40.0"
"2022-05-13T00:00:00.000","Coelba Disco","46207","Loan","COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA","Brazil","Infrastructure","B","Regional Industry - INF LAC","Pending","2022-06-15T00:00:00.000","115.70","115.7"
"2022-05-13T00:00:00.000","WCS FSDH Merchant Bank","46132","Loan","FSDH MERCHANT BANK LIMITED.","Nigeria","Financial Institutions","FI-2","CF3S2 - Regional Industry - FIG Africa/FIG Africa East & South","Pending","2022-06-15T00:00:00.000","20.0","20.0"
"2022-05-13T00:00:00.000","WCS FSDH Merchant Bank","46132","Loan","FSDH MERCHANT BANK LIMITED.","Nigeria","Financial Institutions","FI-2","CF3S2 - Regional Industry - FIG Africa/FIG Africa East & South","Pending","2022-06-15T00:00:00.000","20.0","20.0"
"2022-05-11T00:00:00.000","Bocom Clean Cooking Facility","45530","Loan","BOCOM PETROLEUM SA","Cameroon","Manufacturing","B","Regional Industry - MAS Africa","Pending","2022-06-10T00:00:00.000","26.74","26.74"
"2022-05-11T00:00:00.000","DCM TCHFL SB","46494","Loan","TATA CAPITAL HOUSING FINANCE LIMITED","India","Financial Institutions","FI-3","Regional Industry - FIG Asia & Pac","Pending","2022-06-15T00:00:00.000","144.83","144.83"
