"date_disclosed","project_name","company_name","ifc_country_code","status","project_board_date","ifc_investment_for_equity_million_usd","total_ifc_investment_as_approved_by_board_million_usd","country_code","as_of_date"
"2021-12-13T00:00:00.000","Genesis II","FUNDACION GENESIS EMPRESARIAL","GUA","Active","2022-01-25T00:00:00.000",,"20.0","GT","2022-09-13T03:10:00.000"
"2021-08-23T00:00:00.000","GyT Sub. Debt ","BANCO G AND T CONTINENTAL S.A.","GUA","Active","2021-10-06T00:00:00.000",,"80.0","GT","2022-09-13T03:10:00.000"
"2020-06-23T00:00:00.000","WCS COVID Crisis Response BAM","Banco Agromercantil de Guatemala S.A.","GUA","Completed","2020-06-22T00:00:00.000",,"20.0","GT","2022-09-13T03:10:00.000"
"2019-05-03T00:00:00.000","BAM Loan","Banco Agromercantil de Guatemala S.A.","GUA","Active","2019-06-13T00:00:00.000",,"125.0","GT","2022-09-13T03:10:00.000"
"2017-11-22T00:00:00.000","Genesis I","GENESIS EMPRESARIAL","GUA","Pending","2017-12-25T00:00:00.000",,,"GT","2022-09-13T03:10:00.000"
"2014-02-21T00:00:00.000","TCQ","APM TERMINALS QUETZAL SA","GUA","Active","2014-03-24T00:00:00.000","9.70","44.7","GT","2022-09-13T03:10:00.000"
"2013-02-27T00:00:00.000","Compar GT Loan","Compartamos, S.A.","GUA","Completed","2013-03-29T00:00:00.000",,"7.68","GT","2022-09-13T03:10:00.000"
"2011-01-03T00:00:00.000","Seguros GyT S.A.","SEGUROS G AND T SA","GUA","Completed","2011-02-04T00:00:00.000","5.30","5.3","GT","2022-09-13T03:10:00.000"
"2010-09-15T00:00:00.000","CF Banco GyT","BANCO G AND T CONTINENTAL S.A.","GUA","Active","2010-11-25T00:00:00.000",,,"GT","2022-09-13T03:10:00.000"
"2010-02-10T00:00:00.000","LAPCO- Solid","Grupo Solid (Guatemala) S.A.","GUA","Active","2010-03-15T00:00:00.000",,"10.0","GT","2022-09-13T03:10:00.000"
"2009-05-26T00:00:00.000","Comunicaciones Celulares S.A.","Comunicaciones Celulares S.A.","GUA","Completed","2009-06-26T00:00:00.000",,"35.0","GT","2022-09-13T03:10:00.000"
"2008-12-22T00:00:00.000","Pantaleon II","Pantaleon Sugar Holdings Company Ltd","GUA","Completed","2009-02-05T00:00:00.000","30.0","60.0","GT","2022-09-13T03:10:00.000"
"2008-01-09T00:00:00.000","Banco GyT","BANCO G AND T CONTINENTAL S.A.","GUA","Completed","2008-02-28T00:00:00.000","70.0","70.0","GT","2022-09-13T03:10:00.000"
"2007-05-29T00:00:00.000","Pantaleon Sugar","Pantaleon Sugar Holdings Company Ltd","GUA","Completed","2007-06-28T00:00:00.000",,"70.0","GT","2022-09-13T03:10:00.000"
"2005-05-12T00:00:00.000","Banco Industrial S.A.","Banco Industrial SA","GUA","Completed","2005-06-12T00:00:00.000",,"30.0","GT","2022-09-13T03:10:00.000"
"2004-12-30T00:00:00.000","GCP","Municipality of Guatemala","GUA","Completed","2005-02-03T00:00:00.000",,"6.63","GT","2022-09-13T03:10:00.000"
"2004-03-24T00:00:00.000","Marlin","Montana Exploradora de Guatemala S.A.","GUA","Completed","2004-05-28T00:00:00.000",,"45.0","GT","2022-09-13T03:10:00.000"
"2002-05-13T00:00:00.000","El Canada Hydroelectric Project","Generadora de Occidente Limitada","GUA","Completed","2002-06-12T00:00:00.000",,"15.0","GT","2022-09-13T03:10:00.000"
"1999-09-21T00:00:00.000","Frutera del Pacifico, S.A.","Frutera del Pacífico, S.A.","GUA","Completed",,,"7.0","GT","2022-09-13T03:10:00.000"
"1998-02-09T00:00:00.000","La Fragua","Operadora de Tiendas, S.A. (La Fragua, S.A.)","GUA","Completed",,,"20.0","GT","2022-09-13T03:10:00.000"
"1996-09-06T00:00:00.000","Siderurgica de Guatemala, S.A. (Aceros)","Siderurgica de Guatemala SA","GUA","Completed",,,"18.0","GT","2022-09-13T03:10:00.000"
"1996-05-16T00:00:00.000","Basic Petroleum International Ltd. (II)","Basic Petroleum International Limited","GUA","Completed",,"1.83","13.83","GT","2022-09-13T03:10:00.000"
"1996-03-04T00:00:00.000","Orzunil S.A.","Orzunil I de Electricidad, Limitada","GUA","Completed",,"2.30","16.8","GT","2022-09-13T03:10:00.000"
"1995-06-19T00:00:00.000","PANTALEON, S.A.","Pantaleon SA","GUA","Completed",,,"20.0","GT","2022-09-13T03:10:00.000"
