"country","original_principal_amount"
"India","52586018538.63"
"Bangladesh","38628530240.84"
"Pakistan","30468354468.01"
"Ethiopia","28747503975.87"
"Nigeria","25417215968.81"
"Vietnam","21710458037.00"
"Tanzania","18636659393.08"
"Kenya","18428681038.71"
"Congo, Democratic Republic of","15149924621.63"
"Ghana","13727856042.11"
"Uganda","13117031052.66"
"Mozambique","11603660000.00"
"China","9946710000.00"
"Cote d'Ivoire","9309688365.53"
"Nepal","9056667772.00"
"Senegal","8424997550.31"
"Burkina Faso","8374030764.41"
"Niger","8002833044.46"
"Madagascar","7790915547.48"
"Yemen, Republic of","7035431063.73"
"Rwanda","6513198801.65"
"Malawi","6490989837.41"
"Sri Lanka","6410673836.57"
"Cameroon","5984451992.83"
"Afghanistan","5881146724.98"
"Zambia","5801420000.00"
"Mali","5630816640.36"
"Benin","5058262050.96"
"Uzbekistan","4879604000.00"
"Myanmar","4221450000.00"
"Chad","3480537016.64"
"Honduras","3320739347.38"
"Guinea","3268300000.00"
"Sudan","3240408462.80"
"Burundi","3113248555.50"
"Bolivia","2938957957.57"
"Haiti","2914138997.01"
"Indonesia","2887021749.84"
"Sierra Leone","2673003906.51"
"Somalia","2592017184.89"
"Togo","2537145493.75"
"Nicaragua","2463036300.34"
"Liberia","2340510000.00"
"Kyrgyz Republic","2327775000.00"
"Tajikistan","2311420000.00"
"Cambodia","2288410000.00"
"Lao People's Democratic Republic","2207070000.00"
"Mauritania","2195897522.25"
"Central African Republic","2082177288.69"
"Egypt, Arab Republic of","1984451242.52"
"Bosnia and Herzegovina","1564740000.00"
"Georgia","1549690000.00"
"Armenia","1407870000.00"
"Moldova","1373478000.00"
"South Sudan","1215600000.00"
"Mongolia","1200950000.00"
"Papua New Guinea","1173714444.70"
"Azerbaijan","1128220000.00"
"Gambia, The","1088463180.74"
"Congo, Republic of","1071474646.78"
"Lesotho","1067401011.73"
"Eastern and Southern Africa","1045100000.00"
"Angola","1023580000.00"
"Western and Central Africa","1012730000.00"
"Ukraine","1000000000.00"
"Albania","949960000.00"
"Guinea-Bissau","820611647.00"
"Zimbabwe","733950000.00"
"Cabo Verde","704430000.00"
"Djibouti","704010000.00"
"Serbia","682056178.63"
"Guyana","565465578.16"
"Bhutan","559047500.00"
"Eritrea","548920000.00"
"Kosovo","527450000.00"
"Comoros","524860000.00"
"Iraq","508500000.00"
"Samoa","460263000.00"
"Solomon Islands","439040000.00"
"Maldives","389740000.00"
"Tonga","381210000.00"
"North Macedonia","378700000.00"
"Timor-Leste","338279256.00"
"Fiji","333300000.00"
"St. Vincent and the Grenadines","329640800.00"
"St. Lucia","328034800.00"
"Sao Tome and Principe","326150000.00"
"Grenada","325906800.00"
"Vanuatu","305775000.00"
"Dominica","302501600.00"
"Micronesia, Federated States of","294340000.00"
"Philippines","294215929.31"
"Jordan","287643372.10"
"Marshall Islands","237368000.00"
"Kiribati","236700000.00"
"Tuvalu","225840000.00"
"Turkiye","197239445.87"
"Thailand","125100000.00"
"Korea, Republic of","119567617.10"
"Lebanon","100000000.00"
"Central Africa","99500000.00"
"Montenegro","81953821.37"
"Tunisia","79800712.92"
"South Asia","73000000.00"
"Caribbean","72600000.00"
"Morocco","53458951.19"
"Central Asia","52200000.00"
"Paraguay","49810989.04"
"Equatorial Guinea","49030000.00"
"Syrian Arab Republic","48736649.74"
"Ecuador","39037257.58"
"El Salvador","27989683.25"
"Pacific Islands","27570000.00"
"Colombia","23480995.92"
"Chile","22878919.07"
"Dominican Republic","22081603.38"
"Mauritius","20419355.18"
"South East Asia","20000000.00"
"Taiwan, China","17982059.30"
"Botswana","16949672.95"
"OECS Countries","13000000.00"
"Eswatini","8373186.40"
"Mekong","8000000.00"
"Central America","8000000.00"
"Costa Rica","6428899.07"
"Middle East and North Africa","3850000.00"
"St. Kitts and Nevis","1500000.00"
