"country","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount","repaid_to_ibrd","borrower_s_obligation"
"Bolivia","23250000.00","0.00","0.00","23250000.00","23250000.00","0.00"
"Bolivia","32000000.00","3300000.00","0.00","28700000.00","28700000.00","0.00"
"Bolivia","9500000.00","3067829.14","0.00","6432170.86","6432170.86","0.00"
"Bolivia","25000000.00","0.00","0.00","25000000.00","25000000.00","0.00"
"Bolivia","10000000.00","123097.27","0.00","9876902.73","9876902.73","0.00"
"Bolivia","11500000.00","6776971.13","0.00","4723028.87","4723028.87","0.00"
"Bolivia","12000000.00","0.00","0.00","5033248.14","5033248.14","0.00"
"Bolivia","6966751.86","218979.70","0.00","6747772.16","6747772.16","0.00"
"Bolivia","15000000.00","4516357.46","0.00","10483642.54","10483642.54","0.00"
"Bolivia","35000000.00","0.00","0.00","30257957.09","30257957.09","0.00"
"Bolivia","4742042.91","0.00","0.00","4742042.91","4742042.91","0.00"
"Bolivia","25000000.00","1358407.75","0.00","23641592.25","23591592.25","0.00"
"Bolivia","17000000.00","84749.40","0.00","16915250.60","16915250.60","0.00"
"Bolivia","9000000.00","5008247.12","0.00","3991752.88","3991752.88","0.00"
"Bolivia","25000000.00","14625.48","0.00","24985374.52","24985374.52","0.00"
"Bolivia","50000000.00","0.00","0.00","50000000.00","50000000.00","0.00"
"Bolivia","15000000.00","14850000.00","0.00","150000.00","112590.00","37410.00"
"Bolivia","100000000.00","0.00","0.00","100000000.00","0.00","100000000.00"
"Bolivia","165950000.00","0.00","31397836.38","134552163.62","0.00","134552163.62"
"Bolivia","200000000.00","0.00","153825302.66","46174697.34","0.00","46174697.34"
"Bolivia","100000000.00","0.00","11333157.46","88666842.54","2822621.03","85844221.51"
"Bolivia","252000000.00","0.00","113582075.52","138417924.48","0.00","138417924.48"
"Bolivia","200000000.00","0.00","0.00","200000000.00","0.00","200000000.00"
