"region","undisbursed_amount","disbursed_amount"
"LATIN AMERICA AND CARIBBEAN","15325038180.12","217718732137.73"
"EAST ASIA AND PACIFIC","13968854580.42","146379089750.38"
"EUROPE AND CENTRAL ASIA","14922839589.83","132776479480.53"
"MIDDLE EAST AND NORTH AFRICA","9513704921.14","65316801548.53"
"SOUTH ASIA","16817029762.38","58636477100.31"
"EASTERN AND SOUTHERN AFRICA","3950938278.22","12793671325.91"
"WESTERN AND CENTRAL AFRICA","1804842074.14","11934269985.20"
