"country","original_principal_amount"
"India","3469000000.00"
"Mexico","2753507207.00"
"Brazil","2538358000.00"
"Indonesia","2242650000.00"
"Argentina","2221000000.00"
"China","1740000000.00"
"Poland","1114500000.00"
"Romania","1090900000.00"
"Vietnam","1067790000.00"
