"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd"
"2022-09-12T00:00:00.000","2019","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P131709","Coastal Watersheds Conservation in the Context of Climate Change Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1596263","LIDER DE LA EVALUACION FINAL","2019-03-01T00:00:00.000","Individual Consultant","United States of America","US","25000.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P149872","Energy Efficiency in Public Facilities Project (PRESEMEH)","Consultant Services","Individual Consultant Selection","Energy and Extractives","1708199","Ejecutivo de Adquisiciones de la UREP/PRESEMH","2022-04-01T00:00:00.000","Individual Consultant","United Mexican States","MX","26465.0"
"2022-09-12T00:00:00.000","2021","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P164661","Strengthening Entrepreneurship in Productive Forest Landscapes","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1696575","Especialista para brindar Asistencia T&#233;cnica para el Seguimiento a las auditor&#237;as externas y apoyo al control presupuestal de los proyectos financiados con cr&#233;dito externo (Contrataci&#243;n y coordinaci&#243;n","2021-02-16T00:00:00.000","Individual Consultant","United Mexican States","MX","10892.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P172079","Connecting Watershed Health with Sustainable Livestock and Agroforestry Production Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1696024","COORDINACI&#211;N DE LAS INSTITUCIONES FEDERALES DEL COMIT&#201; COORDINADOR DEL PROYECTO CONECTA CON PRESENCIA LOCAL Y NIVELES DE GOBIERNO EN CHIAPAS","2022-02-14T00:00:00.000","Individual Consultant","United Mexican States","MX","13939.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P172079","Connecting Watershed Health with Sustainable Livestock and Agroforestry Production Project","Consultant Services","Direct Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695835","CONTRATO AUDITORIA EXTERNA CONECTA","2021-11-15T00:00:00.000","GOSSLER S.C.","United Mexican States","MX","897.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P172079","Connecting Watershed Health with Sustainable Livestock and Agroforestry Production Project","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695611","Coordinaci&#243;n de actividades del proyecto CONECTA en Chihuahua","2021-10-18T00:00:00.000","Individual Consultant","United Mexican States","MX","13736.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P164661","Strengthening Entrepreneurship in Productive Forest Landscapes","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695499","Contrataci&#243;n de una consultor&#237;a para la elaboraci&#243;n del Plan de Distribuci&#243;n de Beneficios (PDB).","2021-12-06T00:00:00.000","Individual Consultant","United Mexican States","MX","16535.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P164661","Strengthening Entrepreneurship in Productive Forest Landscapes","Non-consulting Services","Request for Quotations","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695497","""Arrendamiento de la nube Amazon Web Services (AWS) para la operaci&#243;n del software Monitoring Activity Data for M&#233;xico en la CONAFOR"" (fase II)","2021-11-22T00:00:00.000","ESTRATEGIA COORDINADA S.A. DE C.V.","United Mexican States","MX","31553.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P164661","Strengthening Entrepreneurship in Productive Forest Landscapes","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695476","Consultor individual especialista de salvaguardas del proyecto &#8220;Fortalecimiento Empresarial en Paisajes Productivos&#8221;.","2021-07-26T00:00:00.000","Individual Consultant","United Mexican States","MX","10021.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P164661","Strengthening Entrepreneurship in Productive Forest Landscapes","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695473","Consultor individual para las actividades de seguimiento y evaluaci&#243;n del Proyecto PFEPPF.","2021-10-15T00:00:00.000","Individual Consultant","United Mexican States","MX","4009.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P164661","Strengthening Entrepreneurship in Productive Forest Landscapes","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695469","Consultor individual para integrar los aspectos de biodiversidad en el marco del proyecto PFEPPF.","2021-07-16T00:00:00.000","Individual Consultant","United Mexican States","MX","10021.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P164661","Strengthening Entrepreneurship in Productive Forest Landscapes","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695467","Contrataci&#243;n de un especialista para el an&#225;lisis y control de calidad de datos geoespaciales del Sistema Satelital de Monitoreo Forestal (SAMOF)","2021-10-19T00:00:00.000","Individual Consultant","United Mexican States","MX","2395.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P164661","Strengthening Entrepreneurship in Productive Forest Landscapes","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695463","Consultor individual de apoyo t&#233;cnico a la CONAFOR para el an&#225;lisis de tenencia de la tierra y recursos, as&#237; como de la capacidad para realizar transacci&#243;n de Emisiones Reducidas para el ISFL-ERPD","2021-10-05T00:00:00.000","Individual Consultant","United Mexican States","MX","22548.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P164661","Strengthening Entrepreneurship in Productive Forest Landscapes","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695459","Contrataci&#243;n de un especialista para Asistencia en el tema de Reporte y Registro de la Unidad T&#233;cnica Especializada en Monitoreo, Reporte y Verificaci&#243;n (FASE VI).","2021-09-07T00:00:00.000","Individual Consultant","United Mexican States","MX","8222.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P164661","Strengthening Entrepreneurship in Productive Forest Landscapes","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695335","Consultor individual de apoyo para la compilaci&#243;n de productos intermedios y finales del inventario de GEI en el sector USCUSS para el ISFL y apoyo para su integraci&#243;n en el ERPD","2021-10-29T00:00:00.000","Individual Consultant","United Mexican States","MX","8696.0"
"2022-09-12T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Mexico","MX","P164661","Strengthening Entrepreneurship in Productive Forest Landscapes","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1695334","Consultor individual de apoyo para la estimaci&#243;n de flujos y modelaci&#243;n de gases de efecto invernadero en el sector forestal a nivel subnacional.","2021-09-20T00:00:00.000","Individual Consultant","United Mexican States","MX","7074.0"
