"credit_number","country","service_charge_rate","borrower_s_obligation","first_repayment_date","last_repayment_date","board_approval_date"
"IDA47320","Kenya","0.75","19218117.37","2020-08-15T00:00:00.000","2050-02-15T00:00:00.000","2010-05-25T00:00:00.000"
"IDA47430","Kenya","0.75","276240614.40","2020-08-15T00:00:00.000","2050-02-15T00:00:00.000","2010-05-27T00:00:00.000"
"IDA47460","Ghana","0.75","8298972.00","2020-08-15T00:00:00.000","2045-02-15T00:00:00.000","2010-06-03T00:00:00.000"
"IDA47470","Ghana","0.75","20747430.00","2020-11-15T00:00:00.000","2045-05-15T00:00:00.000","2010-06-03T00:00:00.000"
"IDA47490","Angola","0.75","45362480.07","2020-10-15T00:00:00.000","2030-04-15T00:00:00.000","2010-06-08T00:00:00.000"
"IDA47730","Ghana","0.75","37185683.36","2020-11-15T00:00:00.000","2045-05-15T00:00:00.000","2010-06-23T00:00:00.000"
"IDA47890","Ghana","0.75","62491001.39","2020-08-15T00:00:00.000","2045-02-15T00:00:00.000","2010-06-23T00:00:00.000"
"IDA47300","Ghana","0.75","57941401.06","2020-07-15T00:00:00.000","2045-01-15T00:00:00.000","2010-06-29T00:00:00.000"
"IDA47710","Kenya","0.75","83368619.22","2020-11-15T00:00:00.000","2050-05-15T00:00:00.000","2010-06-29T00:00:00.000"
"IDA48010","Kenya","0.75","25586222.13","2020-11-15T00:00:00.000","2050-05-15T00:00:00.000","2010-07-27T00:00:00.000"
"IDA48410","Kenya","0.75","44906721.34","2021-05-15T00:00:00.000","2050-11-15T00:00:00.000","2010-12-14T00:00:00.000"
"IDA48470","Ghana","0.75","30825379.09","2021-01-15T00:00:00.000","2045-07-15T00:00:00.000","2010-12-20T00:00:00.000"
"IDA48570","Ghana","0.75","181952304.57","2021-07-15T00:00:00.000","2046-01-15T00:00:00.000","2011-01-20T00:00:00.000"
"IDA48780","Ghana","0.75","144626005.73","2021-08-01T00:00:00.000","2046-02-01T00:00:00.000","2011-03-22T00:00:00.000"
"IDA48730","Kenya","0.75","83451872.74","2021-05-15T00:00:00.000","2050-11-15T00:00:00.000","2011-03-24T00:00:00.000"
"IDA48750","Ghana","0.75","56570363.14","2021-08-01T00:00:00.000","2046-02-01T00:00:00.000","2011-03-29T00:00:00.000"
"IDA48700","Ghana","0.75","41423184.21","2021-07-15T00:00:00.000","2046-01-15T00:00:00.000","2011-03-31T00:00:00.000"
"IDA49260","Kenya","0.75","247133151.80","2021-08-15T00:00:00.000","2051-02-15T00:00:00.000","2011-04-21T00:00:00.000"
"IDA49390","Ghana","0.75","46455907.54","2021-07-15T00:00:00.000","2046-01-15T00:00:00.000","2011-05-26T00:00:00.000"
"IDA50070","Ghana","0.75","0.00","2021-08-15T00:00:00.000","2046-02-15T00:00:00.000","2011-06-14T00:00:00.000"
"IDA49770","Kenya","0.75","24123059.41","2021-11-15T00:00:00.000","2051-05-15T00:00:00.000","2011-06-23T00:00:00.000"
"IDA49710","Ghana","0.75","20570383.86","2021-08-15T00:00:00.000","2046-02-15T00:00:00.000","2011-06-29T00:00:00.000"
"IDA49700","Angola","0.75","87615742.82","2021-11-15T00:00:00.000","2031-05-15T00:00:00.000","2011-06-30T00:00:00.000"
"IDA49790","Ghana","0.75","28459235.67","2021-08-15T00:00:00.000","2046-02-15T00:00:00.000","2011-07-14T00:00:00.000"
"IDA50100","Ghana","0.75","24633744.92","2022-01-15T00:00:00.000","2051-07-15T00:00:00.000","2011-08-25T00:00:00.000"
"IDA50340","Kenya","0.75","45255742.03","2022-05-15T00:00:00.000","2051-11-15T00:00:00.000","2011-12-20T00:00:00.000"
