"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd"
"2022-09-02T00:00:00.000","2020","LATIN AMERICA AND CARIBBEAN","Argentina","AR","P133195","Argentina Second Rural Education Improvement Project - PROMER-II","Civil Works","Request for Bids","Education","1609686","BOP 84 LOC FRACAN DEPTO GUARAN&#205;","2019-10-18T00:00:00.000","B Y L S.A.","Republic of Armenia","AM","816070.0"
"2022-09-02T00:00:00.000","2021","LATIN AMERICA AND CARIBBEAN","Argentina","AR","P133195","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1671494","TOEE","2020-11-01T00:00:00.000","Individual Consultant","Republic of Armenia","AM","3692.0"
"2022-09-02T00:00:00.000","2020","LATIN AMERICA AND CARIBBEAN","Argentina","AR","P120414","Argentina FCPF REDD Readiness","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1671397","Asesor t&#233;cnico especialista en ganader&#237;a","2020-06-30T00:00:00.000","Individual Consultant","Argentine Republic","AR","12044.0"
"2022-09-02T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Argentina","AR","P161798","Salado Integrated River Basin Management Support Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1710055","T&#233;cnico/a GIS Junior","2022-05-27T00:00:00.000","Individual Consultant","Argentine Republic","AR","6172.0"
"2022-09-02T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Argentina","AR","P161798","Salado Integrated River Basin Management Support Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1710053","Analista Programador GIS WEB (Front End)","2022-05-27T00:00:00.000","Individual Consultant","Argentine Republic","AR","10892.0"
"2022-09-02T00:00:00.000","2020","LATIN AMERICA AND CARIBBEAN","Argentina","AR","P133195","Argentina Second Rural Education Improvement Project - PROMER-II","Consultant Services","Individual Consultant Selection","Education","1671446","AAI","2020-01-01T00:00:00.000","Individual Consultant","Argentine Republic","AR","2283.0"
"2022-09-02T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Argentina","AR","P161798","Salado Integrated River Basin Management Support Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1710134","T&#233;cnico/a GIS Junior","2022-05-27T00:00:00.000","Individual Consultant","Argentine Republic","AR","6172.0"
"2022-09-02T00:00:00.000","2023","LATIN AMERICA AND CARIBBEAN","Argentina","AR","P133193","Protecting Vulnerable People Against Noncommunicable Diseases Project","Goods","Request for Bids","Health","1709619","Azatioprina 50 mg","2022-07-21T00:00:00.000","SUIZO ARGENTINA","Argentine Republic","AR","36479.0"
"2022-09-02T00:00:00.000","2021","LATIN AMERICA AND CARIBBEAN","Argentina","AR","P161798","Salado Integrated River Basin Management Support Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1710028","Asistente en Biolog&#237;a / Limnolog&#237;a (Recontrataci&#243;n STARIK 2021)","2021-01-14T00:00:00.000","Individual Consultant","Argentine Republic","AR","741.0"
"2022-09-02T00:00:00.000","2022","LATIN AMERICA AND CARIBBEAN","Argentina","AR","P170329","Social Safety Nets for Vulnerable Populations in the Province of Buenos Aires","Consultant Services","Individual Consultant Selection","Energy and Extractives;Social Protection","1710023","RODRIGUES, Juan Pablo - Especialista en Gobierno de IT y Gesti&#243;n de Proyectos","2022-05-26T00:00:00.000","Individual Consultant","Argentine Republic","AR","2481.0"
