"date_disclosed","project_name","document_type","project_number","project_url","product_line","company_name","country","ifc_country_code","industry","environmental_category","department","status","project_board_date","ifc_investment_for_risk_management_million_usd","ifc_investment_for_guarantee_million_usd","ifc_investment_for_loan_million_usd","ifc_investment_for_equity_million_usd","total_ifc_investment_as_approved_by_board_million_usd","country_code","as_of_date"
"2015-09-30T00:00:00.000","AIB Equity","Summary of Investment Information (AIP Policy 2012)","37054","https://disclosures.ifc.org/project-detail/SII/37054/aib-equity","Equity","AFGHANISTAN INTERNATIONAL BANK","Afghanistan","AFG","Financial Institutions","FI-2","Regional Industry FIG MCT","Active","2015-11-02T00:00:00.000",,,,"10.0","10.0","AF","2022-09-02T03:05:00.000"
"2012-11-20T00:00:00.000","Telecom Development Company Afghanistan","Summary of Investment Information (AIP Policy 2012)","32476","https://disclosures.ifc.org/project-detail/SII/32476/telecom-development-company-afghanistan","Loan","TELECOM DEVELOPMENT COMPANY AFGHANISTAN LTD","Afghanistan","AFG","Telecommunications, Media, and Technology","B","Regional Industry INF MCT","Active","2012-12-21T00:00:00.000",,,"65.0",,"65.0","AF","2022-09-02T03:05:00.000"
"2002-06-13T00:00:00.000","First Microfinance Bank of Afghanistan","Summary of Proposed Investment (Disclosure Policy 2006)","11550","https://disclosures.ifc.org/project-detail/SPI/11550/first-microfinance-bank-of-afghanistan","Equity","THE FIRST MICRO FINANCE BANK","Afghanistan","AFG","Financial Institutions","FI","Global Industry, Financial Markets","Active","2002-07-15T00:00:00.000",,,,"1.25","1.25","AF","2022-09-02T03:05:00.000"
