"ifc_region","country","number_of_enterprises","ifc_cumulative_commitments_us_thousands","loan_guarantee_participations_cumulative_commitments_us_thousands","total","fiscal_year"
"Middle East and North Africa","Afghanistan","8","221320.27","0.00","221320.27","FY15"
"Middle East and North Africa","Afghanistan","8","220372.83","0.00","220372.83","FY14"
"Middle East and North Africa","Afghanistan","8","220372.83","0.00","220372.83","FY13"
"Middle East and North Africa","Afghanistan","7","153972.34","0.00","153972.34","FY12"
"Middle East and North Africa","Afghanistan","8","225346.86","0.00","225346.86","FY16"
"Middle East and North Africa","Afghanistan","8","226603.55","0.00","226603.55","FY17"
"South Asia","Afghanistan","9","228103.55","0.00","228103.55","FY18"
"South Asia","Afghanistan","9","228103.55","0.00","228103.55","FY19"
"South Asia","Afghanistan","10","249253.55","0.00","249253.55","FY20"
"South Asia","Afghanistan","10","249253.55","0.00","249253.55","FY21"
"Europe and Central Asia","Albania","21","487756.81","65692.00","553448.72","FY15"
"Europe and Central Asia","Albania","21","487307.50","65692.00","552999.41","FY14"
"Europe and Central Asia","Albania","19","442129.29","9893.00","452022.25","FY13"
"Europe and Central Asia","Albania","18","380273.09","9893.00","390166.05","FY12"
"Europe and Central Asia","Albania","21","487756.81","65692.00","553448.72","FY16"
"Europe and Central Asia","Albania","21","487756.81","65692.00","553448.72","FY17"
"Europe and Central Asia","Albania","21","487756.81","65691.91","553448.72","FY18"
"Europe and Central Asia","Albania","21","487756.81","65691.91","553448.72","FY19"
"Europe and Central Asia","Albania","21","487756.81","65691.91","553448.72","FY20"
"Europe and Central Asia","Albania","21","487756.81","65691.91","553448.72","FY21"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY15"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY14"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY13"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY12"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY16"
"Middle East and North Africa","Algeria","14","253557.27","5557.00","259114.17","FY17"
"Middle East and North Africa","Algeria","15","303557.27","5556.90","309114.17","FY18"
"Middle East and North Africa","Algeria","15","303557.27","5556.90","309114.17","FY19"
"Middle East and North Africa","Algeria","15","303557.27","5556.90","309114.17","FY20"
"Middle East and North Africa","Algeria","15","303557.27","5556.90","309114.17","FY21"
"Sub-Saharan Africa","Angola","7","342350.71","0.00","342350.71","FY14"
"Sub-Saharan Africa","Angola","7","326353.03","0.00","326353.03","FY13"
"Sub-Saharan Africa","Angola","7","251966.10","0.00","251966.10","FY12"
"Sub-Saharan Africa","Angola","9","439287.49","0.00","439287.49","FY16"
"Sub-Saharan Africa","Angola","9","501547.43","0.00","501547.43","FY17"
"Sub-Saharan Africa","Angola","9","552350.77","0.00","552350.77","FY18"
"Sub-Saharan Africa","Angola","11","673736.84","0.00","673736.84","FY19"
"Sub-Saharan Africa","Angola","11","770044.56","0.00","770044.56","FY20"
"Sub-Saharan Africa","Angola","11","884986.00","0.00","884986.00","FY21"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY15"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY14"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY13"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY12"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY16"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY17"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY18"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY19"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY20"
"Latin America and the Caribbean","Antigua and Barbuda","1","30000.00","0.00","30000.00","FY21"
