"region","country","credit_status","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount","repaid_to_ida","borrower_s_obligation"
"EAST ASIA AND PACIFIC","Cambodia","Disbursing","879500000.00","0.00","556457787.40","295980647.02","0.00","280719212.61"
"EAST ASIA AND PACIFIC","Cambodia","Repaying","704200000.00","57884681.62","0.00","644827230.34","202180492.95","411847183.01"
"EAST ASIA AND PACIFIC","Cambodia","Fully Cancelled","2500000.00","2500000.00","0.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Cambodia","Fully Disbursed","417810000.00","23730904.39","0.00","380876054.54","0.00","191713452.11"
"EAST ASIA AND PACIFIC","Cambodia","Effective","115000000.00","0.00","102532430.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Cambodia","Signed","169400000.00","0.00","154976590.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","China","Repaying","4773410000.00","28699511.43","0.00","4989706994.84","5227013659.59","351129314.94"
"EAST ASIA AND PACIFIC","China","Fully Repaid","5173300000.00","53139111.22","0.00","5216157752.99","5430539651.40","0.01"
"EAST ASIA AND PACIFIC","Fiji","Effective","10000000.00","0.00","9265200.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Fiji","Disbursing","265300000.00","0.00","18251873.67","242875879.50","0.00","231326142.33"
"EAST ASIA AND PACIFIC","Fiji","Fully Disbursed","58000000.00","0.00","0.00","57730092.50","0.00","56861780.00"
"EAST ASIA AND PACIFIC","Indonesia","Repaying","2537400000.00","98353633.86","0.00","2503180014.49","1838498353.14","531302389.36"
"EAST ASIA AND PACIFIC","Indonesia","Fully Repaid","349621749.84","1949331.88","0.00","347672417.96","347672417.96","0.00"
"EAST ASIA AND PACIFIC","Kiribati","Effective","14000000.00","0.00","13368360.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Kiribati","Disbursing","89000000.00","0.00","81788372.57","4771080.18","0.00","0.00"
"EAST ASIA AND PACIFIC","Kiribati","Signed","51490000.00","0.00","49370280.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Kiribati","Fully Disbursed","82210000.00","29226.05","0.00","79220835.34","0.00","0.00"
"EAST ASIA AND PACIFIC","Korea, Republic of","Fully Cancelled","3500000.00","3500000.00","0.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Korea, Republic of","Fully Repaid","116067617.10","488356.30","0.00","115579260.80","115579260.80","0.00"
"EAST ASIA AND PACIFIC","Lao People's Democratic Republic","Fully Cancelled","42000000.00","42000000.00","0.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Lao People's Democratic Republic","Effective","46000000.00","0.00","43546440.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Lao People's Democratic Republic","Signed","131900000.00","0.00","126403800.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Lao People's Democratic Republic","Repaying","774480000.00","46605026.80","0.00","750714436.92","363593111.95","380681474.45"
"EAST ASIA AND PACIFIC","Lao People's Democratic Republic","Disbursing","546500000.00","1461330.79","339443163.73","185224628.89","0.00","171638909.11"
"EAST ASIA AND PACIFIC","Lao People's Democratic Republic","Disbursing&Repaying","70000000.00","0.00","3077960.41","66348572.52","1841268.15","61335993.20"
"EAST ASIA AND PACIFIC","Lao People's Democratic Republic","Fully Disbursed","596190000.00","12800526.45","0.00","576247091.53","0.00","111676042.80"
"EAST ASIA AND PACIFIC","Marshall Islands","Approved","27000000.00","0.00","25942560.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Marshall Islands","Effective","30000000.00","0.00","27927960.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Marshall Islands","Disbursing","136618000.00","9957446.81","95004802.95","26639969.48","0.00","0.00"
"EAST ASIA AND PACIFIC","Marshall Islands","Signed","30000000.00","0.00","28589760.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Marshall Islands","Fully Disbursed","13750000.00","2351907.99","0.00","11162960.95","0.00","0.00"
"EAST ASIA AND PACIFIC","Mekong","Fully Disbursed","8000000.00","38931.23","0.00","7469200.38","0.00","0.00"
"EAST ASIA AND PACIFIC","Micronesia, Federated States of","Disbursing","213990000.00","0.00","136559594.58","66680039.20","0.00","0.00"
"EAST ASIA AND PACIFIC","Micronesia, Federated States of","Signed","17700000.00","0.00","16809720.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Micronesia, Federated States of","Effective","42750000.00","0.00","40899240.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Micronesia, Federated States of","Fully Disbursed","19900000.00","1686449.65","0.00","16857197.39","0.00","0.00"
"EAST ASIA AND PACIFIC","Mongolia","Approved","50700000.00","0.00","48708480.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Mongolia","Repaying","529215000.00","22469316.78","0.00","521572961.35","139637380.66","344933695.67"
"EAST ASIA AND PACIFIC","Mongolia","Disbursing","245800000.00","0.00","103465867.42","140232050.42","0.00","132002572.58"
"EAST ASIA AND PACIFIC","Mongolia","Fully Disbursed","249535000.00","1829312.50","0.00","252439078.22","0.00","191657280.00"
"EAST ASIA AND PACIFIC","Mongolia","Disbursing&Repaying","125700000.00","0.00","23976329.47","91666611.99","9316457.86","78409160.21"
"EAST ASIA AND PACIFIC","Myanmar","Disbursing","787500000.00","0.00","458705256.44","291548901.98","0.00","203768185.07"
"EAST ASIA AND PACIFIC","Myanmar","Signed","200000000.00","200000000.00","0.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Myanmar","Effective","750000000.00","0.00","723215040.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Myanmar","Repaying","803950000.00","92649969.93","0.00","752813339.84","622701994.01","191473579.54"
"EAST ASIA AND PACIFIC","Myanmar","Disbursing&Repaying","1100000000.00","0.00","206980699.36","863186874.57","33297968.20","787502405.41"
"EAST ASIA AND PACIFIC","Myanmar","Fully Disbursed","580000000.00","39485337.76","0.00","533918812.27","0.00","469083284.72"
"EAST ASIA AND PACIFIC","Pacific Islands","Disbursing","16950000.00","0.00","7203120.79","9846217.35","0.00","0.00"
"EAST ASIA AND PACIFIC","Pacific Islands","Fully Disbursed","10620000.00","3465545.92","0.00","6896683.05","0.00","0.00"
"EAST ASIA AND PACIFIC","Papua New Guinea","Disbursing","268000000.00","18729946.85","117060889.44","126791756.11","0.00","119519161.90"
"EAST ASIA AND PACIFIC","Papua New Guinea","Disbursing&Repaying","233410000.00","15451858.09","96350139.38","106704053.05","14761111.98","86255670.03"
"EAST ASIA AND PACIFIC","Papua New Guinea","Approved","154500000.00","0.00","147581400.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Papua New Guinea","Effective","30000000.00","0.00","27610508.66","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Papua New Guinea","Fully Repaid","20147437.99","0.00","0.00","20147437.99","20147437.99","0.00"
"EAST ASIA AND PACIFIC","Papua New Guinea","Repaying","317657006.71","8997777.96","0.00","294215228.46","95447753.73","188484970.28"
"EAST ASIA AND PACIFIC","Papua New Guinea","Fully Disbursed","150000000.00","0.00","0.00","147989556.00","0.00","141360480.00"
"EAST ASIA AND PACIFIC","Philippines","Fully Repaid","10015929.31","0.00","0.00","10015929.31","10015929.31","0.00"
"EAST ASIA AND PACIFIC","Philippines","Repaying","284200000.00","54733751.20","0.00","234002943.09","223340757.57","15113733.23"
"EAST ASIA AND PACIFIC","Samoa","Disbursing","159193000.00","0.00","65987408.99","88917792.07","0.00","0.00"
"EAST ASIA AND PACIFIC","Samoa","Signed","66000000.00","0.00","63268080.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Samoa","Fully Disbursed","101555000.00","465099.92","0.00","99008766.20","0.00","20354291.26"
"EAST ASIA AND PACIFIC","Samoa","Repaying","133515000.00","5389641.02","0.00","131211959.24","45340638.23","79687346.88"
"EAST ASIA AND PACIFIC","Solomon Islands","Disbursing","145755000.00","3699202.63","60948279.32","77310757.38","0.00","14277188.99"
"EAST ASIA AND PACIFIC","Solomon Islands","Repaying","49900000.00","8008669.79","0.00","43934699.85","26029475.55","20226503.20"
"EAST ASIA AND PACIFIC","Solomon Islands","Effective","151635000.00","0.00","146390384.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Solomon Islands","Approved","19000000.00","0.00","18398040.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Solomon Islands","Fully Disbursed","72750000.00","4892803.68","0.00","67350461.01","0.00","13126421.71"
"EAST ASIA AND PACIFIC","South East Asia","Signed","20000000.00","0.00","19721640.00","0.00","0.00","0.00"
"EAST ASIA AND PACIFIC","Taiwan, China","Fully Repaid","17982059.30","2226283.64","0.00","15755775.66","15755775.66","0.00"
