"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd","borrower_contract_reference_number"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P123845","Afghanistan Capacity Building for Results Facility (CBR)","Consultant Services","Quality And Cost-Based Selection","Public Administration","1541454","Consulting Services of M&E","2016-08-15T00:00:00.000","GEOPOLICITY INC","United Kingdom of Great Britain and Nort","GB","3143736.0","CBR/MOF/95/CS-005)"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P143841","Afghanistan: National Horticulture and Livestock Productivity Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1541601","Implementing Partner for Commercial Broiler Poultry Production (CBPP) of NHLP/MAIL for Baghlan Province","2016-07-20T00:00:00.000","AFGHANISTAN SOCIAL IMPROVEMENT ORGANIZATION (ASIO)","Islamic  Republic of Afghanistan","AF","114739.0","MAIL/ARTF/NHLP/RFP-4248/S.250"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P120427","Public Financial Management Reform II","Consultant Services","Single Source Selection","Financial Sector","1540721","Mr. S Szymon Radziszewicz","2016-07-01T00:00:00.000","MR. S SZYMON RADZISZEWICZ","United States of America","US","108075.0","AF/PFMR-II-227-SSS-CI-MOF/03/PFM"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P120398","AF On-Farm Water Management (OFWM)","Consultant Services","Individual Consultant Selection","Agriculture, Fishing and Forestry","1539992","International Procurement Adviser, Kabul Main Office","2016-07-08T00:00:00.000","Individual Consultant","World","1W","113999.0","MAIL/OFWMP/C-15"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P120427","Public Financial Management Reform II","Consultant Services","Single Source Selection","Financial Sector","1544379","AFGHANISTAN REVENUE DEPARTMENT-MINISTRY OF FINANCE","2016-08-13T00:00:00.000","BLERAT UKAJ","Republic of Kosovo","XK","126000.0","ARD/AF/C-5"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P160567","Citizens' Charter Afghanistan Project","Consultant Services","Fixed Budget Selection","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection","1546383","Contract for Consultant's Services (as Facilitating Partner for the CCAP in select rural communities in the provinces of Khost, Nangarhar and Paktya)","2017-05-16T00:00:00.000","BANGLADESH RURAL ADVANCEMENT COMMITTEE (BRAC)","People's Republic of Bangladesh","BD","14162282.0","CCEP-I/MRRD/CS/FP-14"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P123845","Afghanistan Capacity Building for Results Facility (CBR)","Consultant Services","Single Source Selection","Public Administration","1542962","Senior Advisor to the Minister","2016-07-01T00:00:00.000","JAVID AHMAD","Islamic  Republic of Afghanistan","AF","114000.0","CBR-CONT/MOF/03/07-2016"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P160567","Citizens' Charter Afghanistan Project","Consultant Services","Fixed Budget Selection","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection","1546194","Selection of Consulting Services as the Facilitating Partner for the CCAP for Selected Urban Communities in theHerat City","2017-05-03T00:00:00.000","AFGHAN AID","Kingdom of the Netherlands","GB","2290000.0","CCEP-IDLG/CS-FP-1"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P160567","Citizens' Charter Afghanistan Project","Consultant Services","Fixed Budget Selection","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection","1546225","Contract for Consultant's Services (as Facilitating Partner for the CCAP in select rural communities in the provinces of Baghlan, Kunduz and Samangan)","2017-05-06T00:00:00.000","AGA KHAN DEVELOPMENT NETWORK","Kingdom of Sweden","CH","4881750.0","CCEP-I/MRRD/CS/FP-8"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P129663","Afghanistan: System Enhancement for Health Action in Transition Project","Consultant Services","Single Source Selection","Health","1546007","Consultant Services For Implementing Basic Package of Health Services in Balkh Province","2017-01-01T00:00:00.000","BAKHTAR DEVELOPMENT NETWORK (BDN)","Islamic  Republic of Afghanistan","AF","2484955.0","AFG/MOPH/GCMU/SEHAT/96"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P120427","Public Financial Management Reform II","Consultant Services","Single Source Selection","Financial Sector","1545584","CONSULTANT S SERVICES FOR EXTERNAL AUDIT SUPPORT SERVICES FOR WB AIDED PROJECTS AND SUSTAINABLE CAPACITY BUILDING OF SAO","2017-03-01T00:00:00.000","COWATER INTERNATIONAL","Canada","CA","1592204.0","NPA/SAO/96/CS-1527/SSS/SAO/AF/C-"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P112872","Second Customs Reform and Trade Facilitation Project","Consultant Services","Consultant Qualification  Selection","Information and Communications Technologies;Transportation;Industry, Trade and Services","1546699","Procurement of Microwave PTP Internet Services","2016-11-16T00:00:00.000","ARIANA NETWORK SERVICES (ANS)","Islamic  Republic of Afghanistan","AF","12300.0","PROCUREMENT OF MICROWAVE PTP INT"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P143841","Afghanistan: National Horticulture and Livestock Productivity Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1541643","Implementing Partner for Commercial Broiler Poultry Production (CBPP) of NHLP/MAIL for Laghman Province","2016-07-13T00:00:00.000","AFGHAN DEVELOPMENT ASSOCIATION (ADA)","Islamic  Republic of Afghanistan","AF","127040.0","MAIL/ARTF/NHLP/RFP-4250/S.243"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P143841","Afghanistan: National Horticulture and Livestock Productivity Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1543424","Consultant Services","2016-10-02T00:00:00.000","AFGHANISTAN SOCIAL IMPROVEMENT ORGANIZATION (ASIO)","Islamic  Republic of Afghanistan","AF","547694.0","MAIL/ARTF/NHLP/QCBS/CONT-9390"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P143841","Afghanistan: National Horticulture and Livestock Productivity Project","Consultant Services","Quality And Cost-Based Selection","Agriculture, Fishing and Forestry;Industry, Trade and Services","1546165","Hiring of Implementation Partner for Implementation of 30 Layer Improved Backyard Poultry Production for Herat","2017-04-18T00:00:00.000","BESO","Islamic  Republic of Afghanistan","AF","584086.0","MAIL/ARTF/NHLP/RFP-4241/S.319"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P129663","Afghanistan: System Enhancement for Health Action in Transition Project","Consultant Services","Single Source Selection","Health","1545186","Consultant Services for Implementing Essential Package of Hospital Services in Nimroz Province","2017-01-01T00:00:00.000","MOVE WELFARE ORGANIZATION","Islamic  Republic of Afghanistan","AF","392042.0","AFG/MOPH/GCMU/SEHAT/121"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P118053","Afghanistan New Market Development","Consultant Services","Individual Consultant Selection","Industry, Trade and Services","1543570","Financial Management Specialist FMS for Project Implementation Unit of ANMDP","2016-10-17T00:00:00.000","Individual Consultant","World","1W","35219.0","PSD/MOCI/C-44"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P129663","Afghanistan: System Enhancement for Health Action in Transition Project","Consultant Services","Single Source Selection","Health","1544588","Consultant Services for Implementation of basic Package of Health Services and Daikundi Province","2016-12-24T00:00:00.000","BAKHTAR DEVELOPMENT NETWORK  BDN","Islamic  Republic of Afghanistan","AF","1708914.0","AFG/MOPH/GCMU/SEHAT/101"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P160567","Citizens' Charter Afghanistan Project","Consultant Services","Fixed Budget Selection","Education;Transportation;Energy and Extractives;Water, Sanitation and Waste Management;Social Protection","1546147","Contract for Consultant's Services (as Facilitating Partner for the CCAP in select rural communities in the provinces of Ghor and Herat)","2017-05-06T00:00:00.000","AFGHANAID","Islamic  Republic of Afghanistan","AF","6762000.0","CCEP-I/MRRD/CS/FP-4"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Afghanistan","AF","P120427","Public Financial Management Reform II","Consultant Services","Quality And Cost-Based Selection","Financial Sector","1546468","M/S MOORES ROWLAND","2017-06-05T00:00:00.000","M/S MOORES ROWLAND","Republic of Indonesia","ID","742534.0","REF#: MOF-340-IAD"
